site,date,time (pdt),stage (ft),notes
DanaFk@BugCamp,7/15/2019,14:15,8.94,"staff plate missing, used td"
DanaFk@BugCamp,7/15/2019,15:00,8.94,"staff plate missing, used td"
DanaFk@BugCamp,7/17/2019,15:54,8.82,bolt
DanaFk@BugCamp,7/17/2019,16:43,8.82,bolt
DanaFk@BugCamp,7/18/2019,9:05,8.87,bolt
DanaFk@BugCamp,7/18/2019,9:58,8.86,bolt
DanaFk@BugCamp,8/13/2019,12:05,8.32,bolt
DanaFk@BugCamp,8/13/2019,15:01,8.3,bolt
DanaFk@BugCamp,7/23/2020,14:11,0.93,staff plate
DanaFk@BugCamp,7/23/2020,15:33,0.94,staff plate
DanaFk@BugCamp,8/3/2020,13:58,0.88,unclear
DanaFk@BugCamp,8/3/2020,16:42,0.87,unclear
DanaFk@BugCamp,8/12/2020,11:20,1.86,unclear
DanaFk@BugCamp,9/3/2020,11:08,0.8,unclear
DanaFk@BugCamp,9/3/2020,12:15,0.8,unclear
DanaFk@BugCamp,8/1/2019,13:27,8.55,unclear
DanaFk@BugCamp,8/1/2019,13:54,8.54,unclear
DanaFk@BugCamp,6/7/2021,14:40,1.4,staff plate
DanaFk@BugCamp,6/7/2021,15:30,1.39,staff plate
DanaFk@BugCamp,6/7/2021,15:30,8.66,td
DanaFk@BugCamp,7/7/2021,13:45,1,unclear
DanaFk@BugCamp,7/7/2021,15:20,1,unclear
DanaFk@BugCamp,7/14/2021,10:50,9.05,unclear
DanaFk@BugCamp,7/14/2021,11:17,9.05,unclear
DanaFk@BugCamp,7/21/2021,8:00,0.96,unclear
DanaFk@BugCamp,7/21/2021,8:45,0.95,unclear
DanaFk@BugCamp,7/28/2021,11:25,1.02,unclear
DanaFk@BugCamp,7/28/2021,11:30,1.02,staff plate
DanaFk@BugCamp,7/28/2021,11:30,1.75,td
DanaFk@BugCamp,7/28/2021,15:15,1.03,staff plate
DanaFk@BugCamp,7/28/2021,15:55,1.02,staff plate
DanaFk@BugCamp,8/18/2021,13:30,0.83,staff plate
DanaFk@BugCamp,8/18/2021,14:15,0.83,staff plate
DanaFk@BugCamp,9/22/2021,10:28,0.7,staff plate
DanaFk@BugCamp,9/22/2021,10:28,2.08,td
DanaFk@BugCamp,5/18/2022,12:00,1.86,staff
DanaFk@BugCamp,5/18/2022,12:10,1.86,staff
DanaFk@BugCamp,6/28/2022,17:30,1.15,staff
DanaFk@BugCamp,6/28/2022,18:00,1.15,staff
DanaFk@BugCamp,7/26/2022,12:13,0.92,staff
DanaFk@BugCamp,7/26/2022,12:50,0.92,staff
DanaFk@BugCamp,8/1/2022,14:00,0.92,staff
DanaFk@BugCamp,8/17/2022,8:30,0.95,staff
