Site Name,Field visit date,Field task,Q Method,Stage (ft),Measured Q (cfs)
Tuolumne@120,7/10/2023,,ADCP,6.36,880
Tuolumne@120,8/15/2023,,ADCP,3.95,174
Tuolumne@120,9/6/2023,,ADV,3.34,77.0138
Tuolumne@120,8/8/2023,,ADVP,4.06,203.4
LyellBlwMaclure,7/13/2023,,Rhodamine,7.95,89.54
LyellAbvTB,7/6/2023,,Rhodamine,10.48,727.7883356
LyellAbvTB,8/10/2023,,ADCP,9.94,102.8
DanaFk@BugCamp,7/6/2023,,Rhodamine,2.45,398.0408569
DanaFk@BugCamp,7/10/2023,,Rhodamine,2.77,365.6934671
DanaFk@BugCamp,8/8/2023,,ADCP,1.49,57.9
