Serial_number:
2052075
Project ID:

Location:
BugCamp_Baro
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/13/2021,12:00:00 am,0,74.6310,27.275
8/13/2021,12:30:00 am,0,74.6438,25.581
8/13/2021,01:00:00 am,0,74.6225,24.863
8/13/2021,01:30:00 am,0,74.6196,24.363
8/13/2021,02:00:00 am,0,74.6194,23.955
8/13/2021,02:30:00 am,0,74.6432,23.628
8/13/2021,03:00:00 am,0,74.6644,23.215
8/13/2021,03:30:00 am,0,74.6666,22.790
8/13/2021,04:00:00 am,0,74.6804,22.313
8/13/2021,04:30:00 am,0,74.7035,21.804
8/13/2021,05:00:00 am,0,74.7082,21.219
8/13/2021,05:30:00 am,0,74.7203,20.604
8/13/2021,06:00:00 am,0,74.7258,19.969
8/13/2021,06:30:00 am,0,74.7468,19.321
8/13/2021,07:00:00 am,0,74.7559,18.700
8/13/2021,07:30:00 am,0,74.7747,18.106
8/13/2021,08:00:00 am,0,74.7899,17.543
8/13/2021,08:30:00 am,0,74.7828,17.037
8/13/2021,09:00:00 am,0,74.7810,16.556
8/13/2021,09:30:00 am,0,74.7731,16.117
8/13/2021,10:00:00 am,0,74.7770,15.681
8/13/2021,10:30:00 am,0,74.7803,15.309
8/13/2021,11:00:00 am,0,74.7884,14.956
8/13/2021,11:30:00 am,0,74.7938,14.594
8/13/2021,12:00:00 pm,0,74.7926,14.239
8/13/2021,12:30:00 pm,0,74.7987,13.909
8/13/2021,01:00:00 pm,0,74.8165,13.590
8/13/2021,01:30:00 pm,0,74.8324,13.280
8/13/2021,02:00:00 pm,0,74.8468,12.957
8/13/2021,02:30:00 pm,0,74.8601,12.780
8/13/2021,03:00:00 pm,0,74.8592,12.732
8/13/2021,03:30:00 pm,0,74.8560,13.151
8/13/2021,04:00:00 pm,0,74.8588,13.782
8/13/2021,04:30:00 pm,0,74.8591,14.557
8/13/2021,05:00:00 pm,0,74.8638,15.236
8/13/2021,05:30:00 pm,0,74.8759,15.994
8/13/2021,06:00:00 pm,0,74.8687,16.824
8/13/2021,06:30:00 pm,0,74.8674,17.662
8/13/2021,07:00:00 pm,0,74.8786,18.203
8/13/2021,07:30:00 pm,0,74.8921,18.615
8/13/2021,08:00:00 pm,0,74.8950,18.872
8/13/2021,08:30:00 pm,0,74.9535,18.984
8/13/2021,09:00:00 pm,0,74.9396,18.901
8/13/2021,09:30:00 pm,0,74.9512,19.077
8/13/2021,10:00:00 pm,0,74.9239,19.491
8/13/2021,10:30:00 pm,0,74.8964,19.748
8/13/2021,11:00:00 pm,0,74.9074,20.003
8/13/2021,11:30:00 pm,0,74.9344,20.121
8/14/2021,12:00:00 am,0,74.9536,20.060
8/14/2021,12:30:00 am,0,74.9316,19.919
8/14/2021,01:00:00 am,0,74.9057,19.837
8/14/2021,01:30:00 am,0,74.9045,19.827
8/14/2021,02:00:00 am,0,74.8961,19.842
8/14/2021,02:30:00 am,0,74.9122,19.850
8/14/2021,03:00:00 am,0,74.9302,19.827
8/14/2021,03:30:00 am,0,74.9532,19.584
8/14/2021,04:00:00 am,0,74.9624,19.255
8/14/2021,04:30:00 am,0,74.9854,18.992
8/14/2021,05:00:00 am,0,74.9940,18.634
8/14/2021,05:30:00 am,0,74.9860,18.186
8/14/2021,06:00:00 am,0,74.9802,17.699
8/14/2021,06:30:00 am,0,74.9682,17.181
8/14/2021,07:00:00 am,0,74.9815,16.669
8/14/2021,07:30:00 am,0,74.9878,16.216
8/14/2021,08:00:00 am,0,74.9906,15.853
8/14/2021,08:30:00 am,0,74.9757,15.483
8/14/2021,09:00:00 am,0,74.9730,15.087
8/14/2021,09:30:00 am,0,74.9598,14.750
8/14/2021,10:00:00 am,0,74.9503,14.500
8/14/2021,10:30:00 am,0,74.9442,14.230
8/14/2021,11:00:00 am,0,74.9325,13.955
8/14/2021,11:30:00 am,0,74.9329,13.796
8/14/2021,12:00:00 pm,0,74.9341,13.657
8/14/2021,12:30:00 pm,0,74.9309,13.494
8/14/2021,01:00:00 pm,0,74.9694,13.339
8/14/2021,01:30:00 pm,0,74.9924,13.186
8/14/2021,02:00:00 pm,0,75.0067,13.041
8/14/2021,02:30:00 pm,0,75.0124,12.949
8/14/2021,03:00:00 pm,0,75.0072,12.980
8/14/2021,03:30:00 pm,0,74.9955,13.369
8/14/2021,04:00:00 pm,0,74.9970,13.885
8/14/2021,04:30:00 pm,0,74.9968,14.515
8/14/2021,05:00:00 pm,0,75.0089,15.159
8/14/2021,05:30:00 pm,0,75.0034,15.964
8/14/2021,06:00:00 pm,0,75.0055,17.363
8/14/2021,06:30:00 pm,0,74.9888,18.043
8/14/2021,07:00:00 pm,0,74.9819,18.769
8/14/2021,07:30:00 pm,0,74.9749,19.563
8/14/2021,08:00:00 pm,0,74.9529,20.585
8/14/2021,08:30:00 pm,0,74.9525,21.925
8/14/2021,09:00:00 pm,0,74.9440,22.707
8/14/2021,09:30:00 pm,0,74.9443,23.254
8/14/2021,10:00:00 pm,0,74.9244,23.719
8/14/2021,10:30:00 pm,0,74.8970,24.063
8/14/2021,11:00:00 pm,0,74.8931,24.338
8/14/2021,11:30:00 pm,0,74.8906,24.418
8/15/2021,12:00:00 am,0,74.9254,24.395
8/15/2021,12:30:00 am,0,74.9207,24.261
8/15/2021,01:00:00 am,0,74.9242,24.103
8/15/2021,01:30:00 am,0,74.9177,23.976
8/15/2021,02:00:00 am,0,74.9226,23.779
8/15/2021,02:30:00 am,0,74.9119,23.502
8/15/2021,03:00:00 am,0,74.9687,23.199
8/15/2021,03:30:00 am,0,75.0016,22.868
8/15/2021,04:00:00 am,0,74.9654,22.506
8/15/2021,04:30:00 am,0,74.9933,22.136
