Serial_number:
2065014
Project ID:

Location:
DanaFrkAtBugCamp
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/28/2021,05:44:09 pm,0,760.23,21.492
7/28/2021,06:14:09 pm,0,761.42,24.400
7/28/2021,06:44:09 pm,0,789.07,14.553
7/28/2021,07:14:09 pm,0,789.70,14.521
7/28/2021,07:44:09 pm,0,789.64,14.195
7/28/2021,08:14:09 pm,0,789.55,14.091
7/28/2021,08:44:09 pm,0,789.62,14.122
7/28/2021,09:14:09 pm,0,789.48,14.251
7/28/2021,09:44:09 pm,0,789.27,14.375
7/28/2021,10:14:09 pm,0,789.15,14.570
7/28/2021,10:44:09 pm,0,789.13,14.657
7/28/2021,11:14:09 pm,0,788.87,14.733
7/28/2021,11:44:09 pm,0,789.37,14.677
7/29/2021,12:14:09 am,0,790.38,14.463
7/29/2021,12:44:09 am,0,790.95,14.175
7/29/2021,01:14:09 am,0,791.24,13.945
7/29/2021,01:44:09 am,0,790.89,13.822
7/29/2021,02:14:09 am,0,790.63,13.751
7/29/2021,02:44:09 am,0,790.92,13.682
7/29/2021,03:14:09 am,0,792.13,13.573
7/29/2021,03:44:09 am,0,792.42,13.450
7/29/2021,04:14:09 am,0,792.50,13.285
7/29/2021,04:44:09 am,0,792.56,13.130
7/29/2021,05:14:09 am,0,793.38,12.935
7/29/2021,05:44:09 am,0,793.53,12.735
7/29/2021,06:14:09 am,0,793.47,12.546
7/29/2021,06:44:09 am,0,793.14,12.397
7/29/2021,07:14:09 am,0,792.93,12.254
7/29/2021,07:44:09 am,0,792.62,12.114
7/29/2021,08:14:09 am,0,792.24,11.963
7/29/2021,08:44:09 am,0,791.96,11.814
7/29/2021,09:14:09 am,0,791.76,11.667
7/29/2021,09:44:09 am,0,791.43,11.519
7/29/2021,10:14:09 am,0,791.38,11.371
7/29/2021,10:44:09 am,0,791.24,11.215
7/29/2021,11:14:09 am,0,791.04,11.057
7/29/2021,11:44:09 am,0,790.99,10.911
