Serial_number:,,,,,
2081180,,,,,
Project ID:,,,,,
,,,,,
Location:,,,,,
LyellBlwMaclure,,,,,
LEVEL,,,,,
UNIT: kPa,,,,,
TEMPERATURE,,,,,
UNIT: °C,,,,,
Date,Time UTC,Time PDT,ms,LEVEL,TEMPERATURE
8/11/2021,12:00:00 AM,5:00:00 PM,0,71.0612,23.895
8/11/2021,12:30:00 AM,5:30:00 PM,0,71.046,24.786
8/11/2021,1:00:00 AM,6:00:00 PM,0,71.0462,25.9
8/11/2021,1:30:00 AM,6:30:00 PM,0,71.0568,23.767
8/11/2021,2:00:00 AM,7:00:00 PM,0,71.0573,19.358
8/11/2021,2:30:00 AM,7:30:00 PM,0,71.0634,16.652
8/11/2021,3:00:00 AM,8:00:00 PM,0,71.1108,15.692
8/11/2021,3:30:00 AM,8:30:00 PM,0,71.1382,14.127
8/11/2021,4:00:00 AM,9:00:00 PM,0,71.159,12.91
8/11/2021,4:30:00 AM,9:30:00 PM,0,71.194,13.065
8/11/2021,5:00:00 AM,10:00:00 PM,0,71.206,13.122
8/11/2021,5:30:00 AM,10:30:00 PM,0,71.2155,12.657
8/11/2021,6:00:00 AM,11:00:00 PM,0,71.2131,12.06
8/11/2021,6:30:00 AM,11:30:00 PM,0,71.2122,11.562
8/11/2021,7:00:00 AM,12:00:00 AM,0,71.2184,11.08
8/11/2021,7:30:00 AM,12:30:00 AM,0,71.2156,10.645
8/11/2021,8:00:00 AM,1:00:00 AM,0,71.2052,10.285
8/11/2021,8:30:00 AM,1:30:00 AM,0,71.1906,9.988
8/11/2021,9:00:00 AM,2:00:00 AM,0,71.186,9.58
8/11/2021,9:30:00 AM,2:30:00 AM,0,71.1913,9.199
8/11/2021,10:00:00 AM,3:00:00 AM,0,71.1902,8.895
8/11/2021,10:30:00 AM,3:30:00 AM,0,71.1684,8.587
8/11/2021,11:00:00 AM,4:00:00 AM,0,71.166,8.352
8/11/2021,11:30:00 AM,4:30:00 AM,0,71.1605,8.124
8/11/2021,12:00:00 PM,5:00:00 AM,0,71.1676,7.901
8/11/2021,12:30:00 PM,5:30:00 AM,0,71.1765,7.748
8/11/2021,1:00:00 PM,6:00:00 AM,0,71.183,7.572
8/11/2021,1:30:00 PM,6:30:00 AM,0,71.1945,7.639
8/11/2021,2:00:00 PM,7:00:00 AM,0,71.1998,8.638
8/11/2021,2:30:00 PM,7:30:00 AM,0,71.1397,17.388
8/11/2021,3:00:00 PM,8:00:00 AM,0,72.0884,15.256
8/11/2021,3:30:00 PM,8:30:00 AM,0,72.1225,14.218
8/11/2021,4:00:00 PM,9:00:00 AM,0,72.1182,13.313
8/11/2021,4:30:00 PM,9:30:00 AM,0,72.1136,14.326
8/11/2021,5:00:00 PM,10:00:00 AM,0,72.126,15.806
8/11/2021,5:30:00 PM,10:30:00 AM,0,72.1191,16.923
8/11/2021,6:00:00 PM,11:00:00 AM,0,72.1199,18.892
8/11/2021,6:30:00 PM,11:30:00 AM,0,72.1154,20.289
8/11/2021,7:00:00 PM,12:00:00 PM,0,72.0795,24.318
8/11/2021,7:30:00 PM,12:30:00 PM,0,72.098,27.254
8/11/2021,8:00:00 PM,1:00:00 PM,0,72.1389,23.158
8/11/2021,8:30:00 PM,1:30:00 PM,0,72.125,22.151
8/11/2021,9:00:00 PM,2:00:00 PM,0,72.1,22.168
8/11/2021,9:30:00 PM,2:30:00 PM,0,72.0794,21.906
8/11/2021,10:00:00 PM,3:00:00 PM,0,72.0586,20.533
8/11/2021,10:30:00 PM,3:30:00 PM,0,72.0375,20.125
8/11/2021,11:00:00 PM,4:00:00 PM,0,72.0413,19.688
8/11/2021,11:30:00 PM,4:30:00 PM,0,72.0404,19.135
8/12/2021,12:00:00 AM,5:00:00 PM,0,72.0315,19.042
8/12/2021,12:30:00 AM,5:30:00 PM,0,72.0235,18.299
8/12/2021,1:00:00 AM,6:00:00 PM,0,72.0211,17.66
8/12/2021,1:30:00 AM,6:30:00 PM,0,72.027,17.705
8/12/2021,2:00:00 AM,7:00:00 PM,0,72.0294,17.016
8/12/2021,2:30:00 AM,7:30:00 PM,0,72.0288,16.353
8/12/2021,3:00:00 AM,8:00:00 PM,0,72.0585,15.174
8/12/2021,3:30:00 AM,8:30:00 PM,0,72.0924,13.97
8/12/2021,4:00:00 AM,9:00:00 PM,0,72.1122,12.877
8/12/2021,4:30:00 AM,9:30:00 PM,0,72.1366,12.019
8/12/2021,5:00:00 AM,10:00:00 PM,0,72.1463,11.358
8/12/2021,5:30:00 AM,10:30:00 PM,0,72.1348,10.787
8/12/2021,6:00:00 AM,11:00:00 PM,0,72.1214,10.311
8/12/2021,6:30:00 AM,11:30:00 PM,0,72.1186,9.906
8/12/2021,7:00:00 AM,12:00:00 AM,0,72.1027,9.656
8/12/2021,7:30:00 AM,12:30:00 AM,0,72.0908,9.424
8/12/2021,8:00:00 AM,1:00:00 AM,0,72.0805,9.079
8/12/2021,8:30:00 AM,1:30:00 AM,0,72.0801,8.72
8/12/2021,9:00:00 AM,2:00:00 AM,0,72.0928,8.448
8/12/2021,9:30:00 AM,2:30:00 AM,0,72.0904,8.037
8/12/2021,10:00:00 AM,3:00:00 AM,0,72.0816,7.956
8/12/2021,10:30:00 AM,3:30:00 AM,0,72.0746,7.878
8/12/2021,11:00:00 AM,4:00:00 AM,0,72.0653,7.653
8/12/2021,11:30:00 AM,4:30:00 AM,0,72.0469,7.326
8/12/2021,12:00:00 PM,5:00:00 AM,0,72.0491,7.061
8/12/2021,12:30:00 PM,5:30:00 AM,0,72.0551,6.948
8/12/2021,1:00:00 PM,6:00:00 AM,0,72.0567,6.709
8/12/2021,1:30:00 PM,6:30:00 AM,0,72.0741,6.914
8/12/2021,2:00:00 PM,7:00:00 AM,0,72.0839,7.186
8/12/2021,2:30:00 PM,7:30:00 AM,0,72.0982,7.541
