Serial_number:
2065011
Project ID:

Location:
Tuolumne120
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/12/2021,09:00:00 pm,0,763.94,26.530
8/12/2021,09:30:00 pm,0,763.47,28.798
8/12/2021,10:00:00 pm,0,759.08,39.007
8/12/2021,10:30:00 pm,0,808.45,20.109
8/12/2021,11:00:00 pm,0,808.30,19.917
8/12/2021,11:30:00 pm,0,807.99,19.787
8/13/2021,12:00:00 am,0,808.24,19.777
8/13/2021,12:30:00 am,0,808.59,19.750
8/13/2021,01:00:00 am,0,808.56,19.539
8/13/2021,01:30:00 am,0,808.47,19.258
8/13/2021,02:00:00 am,0,808.56,18.907
8/13/2021,02:30:00 am,0,808.86,18.588
8/13/2021,03:00:00 am,0,809.14,18.214
8/13/2021,03:30:00 am,0,809.09,17.944
8/13/2021,04:00:00 am,0,809.27,17.472
8/13/2021,04:30:00 am,0,809.54,17.152
8/13/2021,05:00:00 am,0,809.55,16.756
8/13/2021,05:30:00 am,0,809.65,16.422
8/13/2021,06:00:00 am,0,809.62,16.133
8/13/2021,06:30:00 am,0,809.82,15.855
8/13/2021,07:00:00 am,0,809.82,15.570
8/13/2021,07:30:00 am,0,809.96,15.326
8/13/2021,08:00:00 am,0,810.04,15.107
8/13/2021,08:30:00 am,0,809.91,14.866
8/13/2021,09:00:00 am,0,809.82,14.605
8/13/2021,09:30:00 am,0,809.76,14.382
8/13/2021,10:00:00 am,0,809.71,14.189
8/13/2021,10:30:00 am,0,809.74,14.011
8/13/2021,11:00:00 am,0,809.75,13.820
8/13/2021,11:30:00 am,0,809.72,13.618
8/13/2021,12:00:00 pm,0,809.74,13.427
8/13/2021,12:30:00 pm,0,809.73,13.273
8/13/2021,01:00:00 pm,0,809.91,13.099
8/13/2021,01:30:00 pm,0,809.95,12.912
8/13/2021,02:00:00 pm,0,810.13,12.765
8/13/2021,02:30:00 pm,0,810.21,12.663
8/13/2021,03:00:00 pm,0,810.21,12.625
8/13/2021,03:30:00 pm,0,810.11,12.684
8/13/2021,04:00:00 pm,0,810.01,12.950
8/13/2021,04:30:00 pm,0,809.92,13.234
8/13/2021,05:00:00 pm,0,809.92,13.777
8/13/2021,05:30:00 pm,0,809.97,14.505
8/13/2021,06:00:00 pm,0,809.88,15.321
8/13/2021,06:30:00 pm,0,809.82,16.153
8/13/2021,07:00:00 pm,0,809.79,16.689
8/13/2021,07:30:00 pm,0,809.92,16.753
8/13/2021,08:00:00 pm,0,809.95,16.645
8/13/2021,08:30:00 pm,0,810.58,16.513
8/13/2021,09:00:00 pm,0,810.66,16.359
8/13/2021,09:30:00 pm,0,811.00,16.433
8/13/2021,10:00:00 pm,0,810.71,16.826
8/13/2021,10:30:00 pm,0,810.49,17.415
8/13/2021,11:00:00 pm,0,810.58,17.679
8/13/2021,11:30:00 pm,0,810.89,17.695
8/14/2021,12:00:00 am,0,811.21,17.626
8/14/2021,12:30:00 am,0,811.19,17.397
8/14/2021,01:00:00 am,0,811.13,17.132
8/14/2021,01:30:00 am,0,811.10,17.023
8/14/2021,02:00:00 am,0,810.86,16.935
8/14/2021,02:30:00 am,0,811.13,16.846
8/14/2021,03:00:00 am,0,811.38,16.652
8/14/2021,03:30:00 am,0,811.64,16.421
8/14/2021,04:00:00 am,0,811.84,16.080
8/14/2021,04:30:00 am,0,812.08,15.782
8/14/2021,05:00:00 am,0,812.24,15.530
8/14/2021,05:30:00 am,0,812.23,15.166
8/14/2021,06:00:00 am,0,812.15,14.897
8/14/2021,06:30:00 am,0,812.04,14.687
8/14/2021,07:00:00 am,0,812.17,14.443
8/14/2021,07:30:00 am,0,812.17,14.128
