Serial_number:,,,,
2052075,,,,
Project ID:,,,,
,,,,
Location:,,,,
BugCamp_Baro,,,,
LEVEL,,,,
UNIT: kPa,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time (UTC),ms,LEVEL,TEMPERATURE
7/1/2022,12:00:00 AM,0,74.4158,21.739
7/1/2022,12:30:00 AM,0,74.4074,21.423
7/1/2022,1:00:00 AM,0,74.4024,21.089
7/1/2022,1:30:00 AM,0,74.4056,20.647
7/1/2022,2:00:00 AM,0,74.4214,20.202
7/1/2022,2:30:00 AM,0,74.419,19.764
7/1/2022,3:00:00 AM,0,74.4258,19.28
7/1/2022,3:30:00 AM,0,74.424,18.686
7/1/2022,4:00:00 AM,0,74.4342,18.052
7/1/2022,4:30:00 AM,0,74.4491,17.383
7/1/2022,5:00:00 AM,0,74.4645,16.669
7/1/2022,5:30:00 AM,0,74.4575,15.922
7/1/2022,6:00:00 AM,0,74.4437,15.174
7/1/2022,6:30:00 AM,0,74.4405,14.469
7/1/2022,7:00:00 AM,0,74.448,13.76
7/1/2022,7:30:00 AM,0,74.4307,13.003
7/1/2022,8:00:00 AM,0,74.4287,12.338
7/1/2022,8:30:00 AM,0,74.4257,11.668
7/1/2022,9:00:00 AM,0,74.4245,11.049
7/1/2022,9:30:00 AM,0,74.4219,10.435
7/1/2022,10:00:00 AM,0,74.4154,9.879
7/1/2022,10:30:00 AM,0,74.4129,9.282
7/1/2022,11:00:00 AM,0,74.4215,8.698
7/1/2022,11:30:00 AM,0,74.4192,8.169
7/1/2022,12:00:00 PM,0,74.438,7.684
7/1/2022,12:30:00 PM,0,74.4486,7.196
7/1/2022,1:00:00 PM,0,74.4579,6.732
7/1/2022,1:30:00 PM,0,74.4632,6.303
7/1/2022,2:00:00 PM,0,74.456,6.05
7/1/2022,2:30:00 PM,0,74.4516,6.044
7/1/2022,3:00:00 PM,0,74.461,6.513
7/1/2022,3:30:00 PM,0,74.4598,7.155
7/1/2022,4:00:00 PM,0,74.4596,8.076
7/1/2022,4:30:00 PM,0,74.4653,9.169
7/1/2022,5:00:00 PM,0,74.4503,10.118
7/1/2022,5:30:00 PM,0,74.4616,10.959
7/1/2022,6:00:00 PM,0,74.4581,11.823
7/1/2022,6:30:00 PM,0,74.4565,12.718
7/1/2022,7:00:00 PM,0,74.4447,13.688
7/1/2022,7:30:00 PM,0,74.437,14.775
7/1/2022,8:00:00 PM,0,74.4254,16.006
7/1/2022,8:30:00 PM,0,74.4118,17.206
7/1/2022,9:00:00 PM,0,74.4039,18.346
7/1/2022,9:30:00 PM,0,74.3902,19.189
7/1/2022,10:00:00 PM,0,74.3873,19.811
7/1/2022,10:30:00 PM,0,74.3666,20.278
7/1/2022,11:00:00 PM,0,74.3545,20.518
7/1/2022,11:30:00 PM,0,74.3516,20.592
7/2/2022,12:00:00 AM,0,74.3246,20.522
7/2/2022,12:30:00 AM,0,74.3065,20.369
7/2/2022,1:00:00 AM,0,74.282,20.172
7/2/2022,1:30:00 AM,0,74.2831,19.898
7/2/2022,2:00:00 AM,0,74.2778,19.639
7/2/2022,2:30:00 AM,0,74.2787,19.317
7/2/2022,3:00:00 AM,0,74.2687,18.983
7/2/2022,3:30:00 AM,0,74.2865,18.579
7/2/2022,4:00:00 AM,0,74.3022,18.119
7/2/2022,4:30:00 AM,0,74.3277,17.599
7/2/2022,5:00:00 AM,0,74.3177,17.059
7/2/2022,5:30:00 AM,0,74.3058,16.505
7/2/2022,6:00:00 AM,0,74.3018,15.901
7/2/2022,6:30:00 AM,0,74.2823,15.359
7/2/2022,7:00:00 AM,0,74.2784,14.804
7/2/2022,7:30:00 AM,0,74.2774,14.196
7/2/2022,8:00:00 AM,0,74.251,13.642
7/2/2022,8:30:00 AM,0,74.2485,13.056
7/2/2022,9:00:00 AM,0,74.2435,12.575
7/2/2022,9:30:00 AM,0,74.2472,11.94
7/2/2022,10:00:00 AM,0,74.2259,11.363
7/2/2022,10:30:00 AM,0,74.224,10.979
7/2/2022,11:00:00 AM,0,74.2096,10.535
7/2/2022,11:30:00 AM,0,74.2021,10.051
7/2/2022,12:00:00 PM,0,74.2041,9.617
7/2/2022,12:30:00 PM,0,74.2025,9.195
7/2/2022,1:00:00 PM,0,74.1983,8.77
7/2/2022,1:30:00 PM,0,74.1932,8.375
7/2/2022,2:00:00 PM,0,74.1916,8.116
7/2/2022,2:30:00 PM,0,74.1837,8.082
7/2/2022,3:00:00 PM,0,74.1679,8.5
7/2/2022,3:30:00 PM,0,74.1593,9.05
7/2/2022,4:00:00 PM,0,74.1558,9.811
7/2/2022,4:30:00 PM,0,74.1532,10.737
7/2/2022,5:00:00 PM,0,74.1444,11.412
7/2/2022,5:30:00 PM,0,74.1619,12.057
7/2/2022,6:00:00 PM,0,74.1451,12.78
7/2/2022,6:30:00 PM,0,74.1604,13.611
7/2/2022,7:00:00 PM,0,74.1545,14.476
7/2/2022,7:30:00 PM,0,74.139,15.415
7/2/2022,8:00:00 PM,0,74.1188,16.458
7/2/2022,8:30:00 PM,0,74.1154,17.482
7/2/2022,9:00:00 PM,0,74.1068,18.335
7/2/2022,9:30:00 PM,0,74.0954,19.016
7/2/2022,10:00:00 PM,0,74.0952,19.422
7/2/2022,10:30:00 PM,0,74.0882,19.644
7/2/2022,11:00:00 PM,0,74.0729,19.664
7/2/2022,11:30:00 PM,0,74.0582,19.463
7/3/2022,12:00:00 AM,0,74.0354,19.148
7/3/2022,12:30:00 AM,0,74.0206,18.814
7/3/2022,1:00:00 AM,0,74.0133,18.425
7/3/2022,1:30:00 AM,0,73.995,18.013
7/3/2022,2:00:00 AM,0,73.9992,17.574
7/3/2022,2:30:00 AM,0,73.9947,17.14
7/3/2022,3:00:00 AM,0,73.9998,16.694
7/3/2022,3:30:00 AM,0,73.9998,16.195
7/3/2022,4:00:00 AM,0,74.0116,15.661
7/3/2022,4:30:00 AM,0,74.0082,15.072
7/3/2022,5:00:00 AM,0,74.0037,14.591
7/3/2022,5:30:00 AM,0,74.0228,14.088
7/3/2022,6:00:00 AM,0,74.0059,13.594
7/3/2022,6:30:00 AM,0,74.0133,13.034
7/3/2022,7:00:00 AM,0,74.0135,12.463
7/3/2022,7:30:00 AM,0,73.9857,11.894
7/3/2022,8:00:00 AM,0,73.9984,11.359
7/3/2022,8:30:00 AM,0,73.9959,10.867
7/3/2022,9:00:00 AM,0,73.9775,10.348
7/3/2022,9:30:00 AM,0,73.9727,9.794
7/3/2022,10:00:00 AM,0,73.9744,9.24
7/3/2022,10:30:00 AM,0,73.9802,8.689
7/3/2022,11:00:00 AM,0,73.9608,8.154
7/3/2022,11:30:00 AM,0,73.9507,7.624
7/3/2022,12:00:00 PM,0,73.9612,7.094
7/3/2022,12:30:00 PM,0,73.9704,6.583
7/3/2022,1:00:00 PM,0,73.9827,6.129
7/3/2022,1:30:00 PM,0,73.9694,5.728
7/3/2022,2:00:00 PM,0,73.9629,5.519
7/3/2022,2:30:00 PM,0,73.9544,5.528
7/3/2022,3:00:00 PM,0,73.9558,5.935
7/3/2022,3:30:00 PM,0,73.9541,6.531
7/3/2022,4:00:00 PM,0,73.9604,7.286
7/3/2022,4:30:00 PM,0,73.9559,8.139
7/3/2022,5:00:00 PM,0,73.9664,8.84
7/3/2022,5:30:00 PM,0,73.9686,9.52
7/3/2022,6:00:00 PM,0,73.9895,10.171
7/3/2022,6:30:00 PM,0,73.986,10.864
7/3/2022,7:00:00 PM,0,73.9682,11.637
7/3/2022,7:30:00 PM,0,73.9773,12.529
7/3/2022,8:00:00 PM,0,73.9737,13.606
7/3/2022,8:30:00 PM,0,73.9785,14.732
7/3/2022,9:00:00 PM,0,73.975,15.678
7/3/2022,9:30:00 PM,0,73.962,16.413
7/3/2022,10:00:00 PM,0,73.9646,16.938
7/3/2022,10:30:00 PM,0,73.9533,17.364
7/3/2022,11:00:00 PM,0,73.9549,17.536
7/3/2022,11:30:00 PM,0,73.949,17.551
7/4/2022,12:00:00 AM,0,73.9602,17.402
7/4/2022,12:30:00 AM,0,73.9446,17.177
7/4/2022,1:00:00 AM,0,73.9296,16.882
7/4/2022,1:30:00 AM,0,73.9388,16.564
7/4/2022,2:00:00 AM,0,73.9382,16.218
7/4/2022,2:30:00 AM,0,73.9433,15.836
7/4/2022,3:00:00 AM,0,73.9514,15.457
7/4/2022,3:30:00 AM,0,73.9636,15.053
7/4/2022,4:00:00 AM,0,73.9824,14.611
7/4/2022,4:30:00 AM,0,74.0027,13.675
7/4/2022,5:00:00 AM,0,74.013,13.318
7/4/2022,5:30:00 AM,0,74.0068,12.522
7/4/2022,6:00:00 AM,0,73.997,11.996
7/4/2022,6:30:00 AM,0,73.9939,11.554
7/4/2022,7:00:00 AM,0,73.9992,11.091
7/4/2022,7:30:00 AM,0,73.9931,10.591
7/4/2022,8:00:00 AM,0,73.9821,10.101
7/4/2022,8:30:00 AM,0,73.9913,9.635
