Serial_number:
2042764
Project ID:
DanaFrkBugCamp
Location:
DanaFrkBugCamp
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/26/2022,07:00:00 pm,0,760.31,21.716
7/26/2022,07:30:00 pm,0,760.30,21.248
7/26/2022,08:00:00 pm,0,782.34,15.722
7/26/2022,08:30:00 pm,0,782.34,16.204
7/26/2022,09:00:00 pm,0,782.33,16.587
7/26/2022,09:30:00 pm,0,782.26,16.895
7/26/2022,10:00:00 pm,0,783.19,16.929
7/26/2022,10:30:00 pm,0,783.52,16.698
7/26/2022,11:00:00 pm,0,783.63,16.300
7/26/2022,11:30:00 pm,0,783.32,15.940
7/27/2022,12:00:00 am,0,783.19,15.666
7/27/2022,12:30:00 am,0,783.37,15.488
7/27/2022,01:00:00 am,0,783.31,15.375
7/27/2022,01:30:00 am,0,783.15,15.312
7/27/2022,02:00:00 am,0,782.94,15.271
7/27/2022,02:30:00 am,0,782.91,15.238
7/27/2022,03:00:00 am,0,782.78,15.187
7/27/2022,03:30:00 am,0,782.86,15.113
7/27/2022,04:00:00 am,0,783.04,15.028
7/27/2022,04:30:00 am,0,783.25,14.935
7/27/2022,05:00:00 am,0,783.43,14.820
7/27/2022,05:30:00 am,0,783.47,14.694
7/27/2022,06:00:00 am,0,783.46,14.549
7/27/2022,06:30:00 am,0,783.60,14.390
7/27/2022,07:00:00 am,0,783.63,14.239
7/27/2022,07:30:00 am,0,783.61,14.080
7/27/2022,08:00:00 am,0,783.56,13.919
7/27/2022,08:30:00 am,0,783.64,13.765
7/27/2022,09:00:00 am,0,783.59,13.614
7/27/2022,09:30:00 am,0,783.62,13.460
7/27/2022,10:00:00 am,0,783.56,13.320
7/27/2022,10:30:00 am,0,783.61,13.175
7/27/2022,11:00:00 am,0,783.64,13.040
7/27/2022,11:30:00 am,0,783.75,12.918
7/27/2022,12:00:00 pm,0,783.84,12.808
7/27/2022,12:30:00 pm,0,783.92,12.704
7/27/2022,01:00:00 pm,0,784.13,12.604
7/27/2022,01:30:00 pm,0,784.30,12.496
7/27/2022,02:00:00 pm,0,784.40,12.389
7/27/2022,02:30:00 pm,0,784.41,12.278
7/27/2022,03:00:00 pm,0,784.40,12.196
7/27/2022,03:30:00 pm,0,784.39,12.160
7/27/2022,04:00:00 pm,0,784.27,12.202
7/27/2022,04:30:00 pm,0,784.24,12.365
7/27/2022,05:00:00 pm,0,784.21,12.711
7/27/2022,05:30:00 pm,0,784.24,13.365
7/27/2022,06:00:00 pm,0,784.28,13.923
7/27/2022,06:30:00 pm,0,784.28,14.459
7/27/2022,07:00:00 pm,0,784.08,14.964
7/27/2022,07:30:00 pm,0,783.89,15.444
7/27/2022,08:00:00 pm,0,783.68,15.952
7/27/2022,08:30:00 pm,0,783.39,16.246
7/27/2022,09:00:00 pm,0,783.25,16.468
7/27/2022,09:30:00 pm,0,783.38,16.700
7/27/2022,10:00:00 pm,0,783.30,16.924
7/27/2022,10:30:00 pm,0,783.23,16.943
7/27/2022,11:00:00 pm,0,783.07,16.881
7/27/2022,11:30:00 pm,0,783.08,16.766
7/28/2022,12:00:00 am,0,783.13,16.751
7/28/2022,12:30:00 am,0,783.10,16.852
7/28/2022,01:00:00 am,0,782.94,16.987
7/28/2022,01:30:00 am,0,782.97,17.060
7/28/2022,02:00:00 am,0,783.00,17.091
7/28/2022,02:30:00 am,0,783.04,17.040
7/28/2022,03:00:00 am,0,783.13,16.936
7/28/2022,03:30:00 am,0,783.15,16.769
7/28/2022,04:00:00 am,0,783.21,16.556
7/28/2022,04:30:00 am,0,783.29,16.333
7/28/2022,05:00:00 am,0,783.43,16.119
7/28/2022,05:30:00 am,0,783.46,15.921
7/28/2022,06:00:00 am,0,783.34,15.741
7/28/2022,06:30:00 am,0,783.17,15.575
7/28/2022,07:00:00 am,0,783.17,15.427
7/28/2022,07:30:00 am,0,783.02,15.270
7/28/2022,08:00:00 am,0,782.91,15.107
7/28/2022,08:30:00 am,0,782.75,14.946
7/28/2022,09:00:00 am,0,782.57,14.784
7/28/2022,09:30:00 am,0,782.39,14.616
7/28/2022,10:00:00 am,0,782.43,14.441
7/28/2022,10:30:00 am,0,782.32,14.256
7/28/2022,11:00:00 am,0,782.32,14.084
7/28/2022,11:30:00 am,0,782.26,13.906
7/28/2022,12:00:00 pm,0,782.31,13.713
7/28/2022,12:30:00 pm,0,782.40,13.521
7/28/2022,01:00:00 pm,0,782.49,13.327
7/28/2022,01:30:00 pm,0,782.68,13.140
7/28/2022,02:00:00 pm,0,782.76,12.960
7/28/2022,02:30:00 pm,0,782.71,12.792
7/28/2022,03:00:00 pm,0,782.87,12.671
7/28/2022,03:30:00 pm,0,782.95,12.608
7/28/2022,04:00:00 pm,0,783.03,12.622
7/28/2022,04:30:00 pm,0,782.93,12.722
7/28/2022,05:00:00 pm,0,782.96,13.007
7/28/2022,05:30:00 pm,0,783.18,13.525
7/28/2022,06:00:00 pm,0,783.16,13.931
7/28/2022,06:30:00 pm,0,783.28,14.318
7/28/2022,07:00:00 pm,0,783.21,14.844
7/28/2022,07:30:00 pm,0,783.14,15.466
7/28/2022,08:00:00 pm,0,782.92,16.151
7/28/2022,08:30:00 pm,0,782.88,16.830
7/28/2022,09:00:00 pm,0,782.63,17.027
7/28/2022,09:30:00 pm,0,782.44,16.935
7/28/2022,10:00:00 pm,0,782.18,16.628
7/28/2022,10:30:00 pm,0,782.04,16.330
7/28/2022,11:00:00 pm,0,781.90,16.163
7/28/2022,11:30:00 pm,0,781.79,16.135
7/29/2022,12:00:00 am,0,781.73,16.269
7/29/2022,12:30:00 am,0,781.64,16.445
7/29/2022,01:00:00 am,0,781.43,16.644
7/29/2022,01:30:00 am,0,781.56,16.706
7/29/2022,02:00:00 am,0,781.63,16.675
7/29/2022,02:30:00 am,0,781.68,16.561
7/29/2022,03:00:00 am,0,781.75,16.425
7/29/2022,03:30:00 am,0,781.78,16.264
7/29/2022,04:00:00 am,0,781.84,16.095
7/29/2022,04:30:00 am,0,781.99,15.921
7/29/2022,05:00:00 am,0,782.00,15.748
7/29/2022,05:30:00 am,0,782.05,15.569
7/29/2022,06:00:00 am,0,782.01,15.388
7/29/2022,06:30:00 am,0,782.05,15.212
7/29/2022,07:00:00 am,0,782.05,15.035
7/29/2022,07:30:00 am,0,782.12,14.860
7/29/2022,08:00:00 am,0,782.20,14.678
7/29/2022,08:30:00 am,0,781.96,14.486
7/29/2022,09:00:00 am,0,781.84,14.291
7/29/2022,09:30:00 am,0,781.78,14.105
7/29/2022,10:00:00 am,0,781.85,13.916
7/29/2022,10:30:00 am,0,781.82,13.720
7/29/2022,11:00:00 am,0,781.82,13.532
7/29/2022,11:30:00 am,0,781.74,13.332
7/29/2022,12:00:00 pm,0,781.75,13.147
7/29/2022,12:30:00 pm,0,781.77,12.953
7/29/2022,01:00:00 pm,0,781.97,12.773
7/29/2022,01:30:00 pm,0,782.16,12.596
7/29/2022,02:00:00 pm,0,782.32,12.454
7/29/2022,02:30:00 pm,0,782.51,12.302
7/29/2022,03:00:00 pm,0,782.60,12.182
7/29/2022,03:30:00 pm,0,782.58,12.100
7/29/2022,04:00:00 pm,0,782.55,12.097
