Serial_number:
2065035
Project ID:
LyellAbvTwinBridges
Location:
LyellAbvTwinBridges
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/26/2022,04:00:00 pm,0,761.05,19.525
7/26/2022,04:30:00 pm,0,760.98,18.972
7/26/2022,05:00:00 pm,0,760.82,18.588
7/26/2022,05:30:00 pm,0,791.71,14.995
7/26/2022,06:00:00 pm,0,791.63,14.899
7/26/2022,06:30:00 pm,0,791.79,14.873
7/26/2022,07:00:00 pm,0,791.79,14.935
7/26/2022,07:30:00 pm,0,791.80,15.067
7/26/2022,08:00:00 pm,0,791.71,15.279
7/26/2022,08:30:00 pm,0,791.83,15.485
7/26/2022,09:00:00 pm,0,791.68,15.687
7/26/2022,09:30:00 pm,0,791.46,15.867
7/26/2022,10:00:00 pm,0,792.56,16.003
7/26/2022,10:30:00 pm,0,793.11,16.079
7/26/2022,11:00:00 pm,0,793.14,16.146
7/26/2022,11:30:00 pm,0,793.09,16.198
7/27/2022,12:00:00 am,0,792.58,16.268
7/27/2022,12:30:00 am,0,792.76,16.348
7/27/2022,01:00:00 am,0,792.75,16.421
7/27/2022,01:30:00 am,0,792.52,16.464
7/27/2022,02:00:00 am,0,792.52,16.495
7/27/2022,02:30:00 am,0,792.31,16.517
7/27/2022,03:00:00 am,0,792.47,16.524
7/27/2022,03:30:00 am,0,792.73,16.501
7/27/2022,04:00:00 am,0,792.57,16.459
7/27/2022,04:30:00 am,0,793.25,16.403
7/27/2022,05:00:00 am,0,793.19,16.333
7/27/2022,05:30:00 am,0,793.25,16.251
7/27/2022,06:00:00 am,0,793.09,16.160
7/27/2022,06:30:00 am,0,793.26,16.058
7/27/2022,07:00:00 am,0,793.51,15.947
7/27/2022,07:30:00 am,0,793.73,15.830
7/27/2022,08:00:00 am,0,793.68,15.703
7/27/2022,08:30:00 am,0,793.91,15.562
7/27/2022,09:00:00 am,0,794.45,15.417
7/27/2022,09:30:00 am,0,795.13,15.263
7/27/2022,10:00:00 am,0,798.86,15.099
7/27/2022,10:30:00 am,0,803.64,14.922
7/27/2022,11:00:00 am,0,805.87,14.717
7/27/2022,11:30:00 am,0,806.44,14.518
7/27/2022,12:00:00 pm,0,806.57,14.337
7/27/2022,12:30:00 pm,0,806.83,14.177
7/27/2022,01:00:00 pm,0,806.68,14.027
7/27/2022,01:30:00 pm,0,806.86,13.878
7/27/2022,02:00:00 pm,0,806.53,13.729
7/27/2022,02:30:00 pm,0,805.92,13.588
7/27/2022,03:00:00 pm,0,805.45,13.471
7/27/2022,03:30:00 pm,0,805.13,13.397
7/27/2022,04:00:00 pm,0,804.79,13.370
7/27/2022,04:30:00 pm,0,804.26,13.389
7/27/2022,05:00:00 pm,0,803.60,13.450
7/27/2022,05:30:00 pm,0,803.46,13.563
7/27/2022,06:00:00 pm,0,803.19,13.719
7/27/2022,06:30:00 pm,0,802.93,13.920
7/27/2022,07:00:00 pm,0,802.60,14.179
7/27/2022,07:30:00 pm,0,802.29,14.453
7/27/2022,08:00:00 pm,0,801.95,14.752
7/27/2022,08:30:00 pm,0,801.58,15.037
7/27/2022,09:00:00 pm,0,801.23,15.347
7/27/2022,09:30:00 pm,0,801.12,15.668
7/27/2022,10:00:00 pm,0,800.87,15.897
7/27/2022,10:30:00 pm,0,800.54,16.105
7/27/2022,11:00:00 pm,0,800.31,16.261
7/27/2022,11:30:00 pm,0,800.04,16.421
7/28/2022,12:00:00 am,0,799.98,16.580
7/28/2022,12:30:00 am,0,799.70,16.697
7/28/2022,01:00:00 am,0,799.41,16.806
7/28/2022,01:30:00 am,0,799.28,16.869
7/28/2022,02:00:00 am,0,799.17,16.904
7/28/2022,02:30:00 am,0,799.01,16.911
7/28/2022,03:00:00 am,0,798.96,16.910
7/28/2022,03:30:00 am,0,798.77,16.893
7/28/2022,04:00:00 am,0,798.65,16.876
7/28/2022,04:30:00 am,0,798.50,16.841
7/28/2022,05:00:00 am,0,798.38,16.770
7/28/2022,05:30:00 am,0,798.14,16.679
7/28/2022,06:00:00 am,0,797.91,16.571
7/28/2022,06:30:00 am,0,797.62,16.448
7/28/2022,07:00:00 am,0,797.41,16.315
7/28/2022,07:30:00 am,0,797.05,16.172
7/28/2022,08:00:00 am,0,796.77,16.026
