Serial_number:
2017487
Project ID:
Hydroclimate
Location:
TiogaRoadat120
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
9/2/2022,07:00:00 pm,0,760.06,19.134
9/2/2022,07:30:00 pm,0,762.35,20.250
9/2/2022,08:00:00 pm,0,804.24,18.221
9/2/2022,08:30:00 pm,0,804.22,18.367
9/2/2022,09:00:00 pm,0,804.13,18.795
9/2/2022,09:30:00 pm,0,803.99,19.265
9/2/2022,10:00:00 pm,0,803.95,19.587
9/2/2022,10:30:00 pm,0,803.81,19.786
9/2/2022,11:00:00 pm,0,803.67,19.859
9/2/2022,11:30:00 pm,0,803.47,19.873
9/3/2022,12:00:00 am,0,803.48,19.820
9/3/2022,12:30:00 am,0,803.60,19.647
9/3/2022,01:00:00 am,0,803.67,19.337
9/3/2022,01:30:00 am,0,803.69,18.875
9/3/2022,02:00:00 am,0,803.80,18.428
9/3/2022,02:30:00 am,0,803.85,17.986
9/3/2022,03:00:00 am,0,804.17,17.508
9/3/2022,03:30:00 am,0,804.51,17.099
9/3/2022,04:00:00 am,0,804.75,16.766
9/3/2022,04:30:00 am,0,804.88,16.481
9/3/2022,05:00:00 am,0,804.92,16.206
9/3/2022,05:30:00 am,0,805.04,15.922
9/3/2022,06:00:00 am,0,805.13,15.622
9/3/2022,06:30:00 am,0,805.07,15.349
9/3/2022,07:00:00 am,0,805.06,15.138
9/3/2022,07:30:00 am,0,805.10,14.942
9/3/2022,08:00:00 am,0,805.26,14.760
9/3/2022,08:30:00 am,0,805.20,14.523
9/3/2022,09:00:00 am,0,805.31,14.284
9/3/2022,09:30:00 am,0,805.29,14.042
9/3/2022,10:00:00 am,0,805.40,13.808
9/3/2022,10:30:00 am,0,805.38,13.573
9/3/2022,11:00:00 am,0,805.35,13.337
9/3/2022,11:30:00 am,0,805.46,13.089
9/3/2022,12:00:00 pm,0,805.32,12.866
9/3/2022,12:30:00 pm,0,805.40,12.657
9/3/2022,01:00:00 pm,0,805.45,12.478
9/3/2022,01:30:00 pm,0,805.50,12.285
9/3/2022,02:00:00 pm,0,805.68,12.093
9/3/2022,02:30:00 pm,0,805.76,11.944
9/3/2022,03:00:00 pm,0,805.84,11.836
9/3/2022,03:30:00 pm,0,805.77,11.826
9/3/2022,04:00:00 pm,0,805.85,11.929
9/3/2022,04:30:00 pm,0,805.89,12.153
9/3/2022,05:00:00 pm,0,806.09,12.605
9/3/2022,05:30:00 pm,0,806.19,13.210
9/3/2022,06:00:00 pm,0,806.11,14.023
9/3/2022,06:30:00 pm,0,806.14,14.971
9/3/2022,07:00:00 pm,0,806.03,15.941
9/3/2022,07:30:00 pm,0,805.74,16.861
9/3/2022,08:00:00 pm,0,805.60,17.767
9/3/2022,08:30:00 pm,0,805.49,18.538
9/3/2022,09:00:00 pm,0,805.41,19.171
9/3/2022,09:30:00 pm,0,805.21,19.712
9/3/2022,10:00:00 pm,0,805.13,20.204
9/3/2022,10:30:00 pm,0,804.86,20.559
9/3/2022,11:00:00 pm,0,804.88,20.715
9/3/2022,11:30:00 pm,0,804.87,20.760
9/4/2022,12:00:00 am,0,804.85,20.651
9/4/2022,12:30:00 am,0,804.91,20.360
9/4/2022,01:00:00 am,0,804.88,19.910
9/4/2022,01:30:00 am,0,804.97,19.433
9/4/2022,02:00:00 am,0,804.99,18.881
9/4/2022,02:30:00 am,0,805.18,18.411
9/4/2022,03:00:00 am,0,805.36,17.847
9/4/2022,03:30:00 am,0,805.68,17.463
9/4/2022,04:00:00 am,0,805.83,17.101
9/4/2022,04:30:00 am,0,806.08,16.778
9/4/2022,05:00:00 am,0,806.03,16.479
9/4/2022,05:30:00 am,0,806.09,16.195
9/4/2022,06:00:00 am,0,806.08,15.919
9/4/2022,06:30:00 am,0,806.11,15.652
9/4/2022,07:00:00 am,0,806.20,15.380
9/4/2022,07:30:00 am,0,806.17,15.145
9/4/2022,08:00:00 am,0,806.16,14.891
9/4/2022,08:30:00 am,0,806.29,14.583
9/4/2022,09:00:00 am,0,806.13,14.330
9/4/2022,09:30:00 am,0,806.13,14.089
9/4/2022,10:00:00 am,0,806.16,13.861
9/4/2022,10:30:00 am,0,806.24,13.617
9/4/2022,11:00:00 am,0,806.38,13.388
9/4/2022,11:30:00 am,0,806.23,13.176
9/4/2022,12:00:00 pm,0,806.31,12.970
9/4/2022,12:30:00 pm,0,806.37,12.763
9/4/2022,01:00:00 pm,0,806.46,12.573
9/4/2022,01:30:00 pm,0,806.65,12.411
