Serial_number:
2081180
Project ID:

Location:
TMCampgroundDryWell
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
9/8/2022,04:00:00 pm,0,74.8206,13.116
9/8/2022,04:30:00 pm,0,74.7904,11.513
9/8/2022,05:00:00 pm,0,74.7623,11.016
9/8/2022,05:30:00 pm,0,74.7524,10.833
9/8/2022,06:00:00 pm,0,74.7311,10.758
9/8/2022,06:30:00 pm,0,74.7037,10.733
9/8/2022,07:00:00 pm,0,74.6803,10.741
9/8/2022,07:30:00 pm,0,74.6410,10.766
9/8/2022,08:00:00 pm,0,74.6137,10.808
9/8/2022,08:30:00 pm,0,74.5888,10.866
9/8/2022,09:00:00 pm,0,74.5595,10.940
9/8/2022,09:30:00 pm,0,74.5299,11.023
9/8/2022,10:00:00 pm,0,74.5029,11.105
9/8/2022,10:30:00 pm,0,74.4646,11.193
9/8/2022,11:00:00 pm,0,74.4520,11.269
9/8/2022,11:30:00 pm,0,74.4753,11.336
9/9/2022,12:00:00 am,0,74.4937,11.386
9/9/2022,12:30:00 am,0,74.5804,11.405
9/9/2022,01:00:00 am,0,74.5767,11.418
9/9/2022,01:30:00 am,0,74.5363,11.409
9/9/2022,02:00:00 am,0,74.5253,11.403
9/9/2022,02:30:00 am,0,74.5443,11.416
9/9/2022,03:00:00 am,0,74.5468,11.421
9/9/2022,03:30:00 am,0,74.5012,11.416
9/9/2022,04:00:00 am,0,74.5050,11.401
9/9/2022,04:30:00 am,0,74.4824,11.382
9/9/2022,05:00:00 am,0,74.4513,11.358
9/9/2022,05:30:00 am,0,74.4268,11.326
9/9/2022,06:00:00 am,0,74.4119,11.290
9/9/2022,06:30:00 am,0,74.4011,11.252
9/9/2022,07:00:00 am,0,74.3776,11.212
9/9/2022,07:30:00 am,0,74.3610,11.167
9/9/2022,08:00:00 am,0,74.3402,11.120
9/9/2022,08:30:00 am,0,74.3134,11.076
9/9/2022,09:00:00 am,0,74.2886,11.023
9/9/2022,09:30:00 am,0,74.2657,10.974
9/9/2022,10:00:00 am,0,74.2578,10.914
9/9/2022,10:30:00 am,0,74.2481,10.873
9/9/2022,11:00:00 am,0,74.2361,10.822
9/9/2022,11:30:00 am,0,74.2115,10.775
9/9/2022,12:00:00 pm,0,74.1942,10.720
9/9/2022,12:30:00 pm,0,74.1881,10.680
9/9/2022,01:00:00 pm,0,74.1866,10.628
9/9/2022,01:30:00 pm,0,74.1835,10.569
9/9/2022,02:00:00 pm,0,74.2023,10.513
9/9/2022,02:30:00 pm,0,74.2103,10.463
9/9/2022,03:00:00 pm,0,74.2006,10.414
9/9/2022,03:30:00 pm,0,74.1881,10.376
9/9/2022,04:00:00 pm,0,74.1715,10.351
9/9/2022,04:30:00 pm,0,74.1691,10.340
9/9/2022,05:00:00 pm,0,74.1601,10.338
9/9/2022,05:30:00 pm,0,74.1574,10.351
9/9/2022,06:00:00 pm,0,74.1454,10.376
9/9/2022,06:30:00 pm,0,74.1330,10.404
9/9/2022,07:00:00 pm,0,74.1094,10.443
9/9/2022,07:30:00 pm,0,74.0742,10.491
9/9/2022,08:00:00 pm,0,74.0534,10.545
9/9/2022,08:30:00 pm,0,74.0600,10.599
9/9/2022,09:00:00 pm,0,74.0677,10.659
9/9/2022,09:30:00 pm,0,74.0408,10.709
9/9/2022,10:00:00 pm,0,74.0306,10.762
9/9/2022,10:30:00 pm,0,74.0107,10.811
9/9/2022,11:00:00 pm,0,74.0237,10.862
9/9/2022,11:30:00 pm,0,74.0394,10.913
9/10/2022,12:00:00 am,0,74.0370,10.961
9/10/2022,12:30:00 am,0,74.0827,11.008
9/10/2022,01:00:00 am,0,74.0720,11.056
9/10/2022,01:30:00 am,0,74.1386,11.089
9/10/2022,02:00:00 am,0,74.1307,11.106
9/10/2022,02:30:00 am,0,74.1245,11.125
9/10/2022,03:00:00 am,0,74.1361,11.138
9/10/2022,03:30:00 am,0,74.1470,11.144
