"TOA5","DanaFrkBug","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-04-27 12:00:00",257499,11.910,1.0530,3.0410,1.0000,1.3030,0.25000
"2022-04-27 12:15:00",257500,11.910,1.0500,3.3440,1.0000,1.3000,0.25000
"2022-04-27 12:30:00",257501,11.920,1.0540,3.6330,1.0000,1.3040,0.25000
"2022-04-27 12:45:00",257502,11.920,1.0530,3.9310,1.0000,1.3020,0.25000
"2022-04-27 13:00:00",257503,11.920,1.0500,4.2630,1.0000,1.3000,0.25000
"2022-04-27 13:15:00",257504,11.920,1.0500,4.6040,1.0000,1.3000,0.25000
"2022-04-27 13:30:00",257505,11.920,1.0460,4.8920,1.0000,1.2950,0.25000
"2022-04-27 13:45:00",257506,11.920,1.0480,5.1840,1.0000,1.2970,0.25000
"2022-04-27 14:00:00",257507,11.920,1.0520,5.4810,1.0000,1.3020,0.25000
"2022-04-27 14:15:00",257508,11.930,1.0540,5.7320,1.0000,1.3040,0.25000
"2022-04-27 14:30:00",257509,11.930,1.0560,5.9910,1.0000,1.3050,0.25000
"2022-04-27 14:45:00",257510,11.930,1.0570,6.1720,1.0000,1.3070,0.25000
"2022-04-27 15:00:00",257511,11.930,1.0610,6.3420,1.0000,1.3110,0.25000
"2022-04-27 15:15:00",257512,11.930,1.0610,6.4920,1.0000,1.3110,0.25000
"2022-04-27 15:30:00",257513,11.930,1.0690,6.6690,1.0000,1.3180,0.25000
"2022-04-27 15:45:00",257514,11.930,1.0660,6.8170,1.0000,1.3160,0.25000
"2022-04-27 16:00:00",257515,11.930,1.0690,6.9310,1.0000,1.3180,0.25000
"2022-04-27 16:15:00",257516,11.930,1.0710,6.9950,1.0000,1.3210,0.25000
"2022-04-27 16:30:00",257517,11.930,1.0800,7.0300,1.0000,1.3290,0.25000
"2022-04-27 16:45:00",257518,11.930,1.0800,7.0200,1.0000,1.3300,0.25000
"2022-04-27 17:00:00",257519,11.930,1.0900,6.9820,1.0000,1.3400,0.25000
"2022-04-27 17:15:00",257520,11.930,1.0920,6.9210,1.0000,1.3410,0.25000
"2022-04-27 17:30:00",257521,11.930,1.0930,6.8280,1.0000,1.3420,0.25000
"2022-04-27 17:45:00",257522,11.930,1.1060,6.7040,1.0000,1.3550,0.25000
"2022-04-27 18:00:00",257523,11.930,1.1020,6.5710,1.0000,1.3510,0.25000
"2022-04-27 18:15:00",257524,11.930,1.1050,6.4230,1.0000,1.3540,0.25000
"2022-04-27 18:30:00",257525,11.930,1.1040,6.2660,1.0000,1.3540,0.25000
"2022-04-27 18:45:00",257526,11.920,1.1120,6.1200,1.0000,1.3620,0.25000
"2022-04-27 19:00:00",257527,11.920,1.1140,5.9820,1.0000,1.3640,0.25000
"2022-04-27 19:15:00",257528,11.930,1.1170,5.8460,1.0000,1.3670,0.25000
"2022-04-27 19:30:00",257529,11.930,1.1150,5.6870,1.0000,1.3650,0.25000
"2022-04-27 19:45:00",257530,11.930,1.1200,5.5230,1.0000,1.3700,0.25000
"2022-04-27 20:00:00",257531,11.930,1.1180,5.3550,1.0000,1.3670,0.25000
"2022-04-27 20:15:00",257532,11.920,1.1250,5.1940,1.0000,1.3750,0.25000
"2022-04-27 20:30:00",257533,11.910,1.1190,5.0350,1.0000,1.3680,0.25000
"2022-04-27 20:45:00",257534,11.910,1.1230,4.8720,1.0000,1.3730,0.25000
"2022-04-27 21:00:00",257535,11.910,1.1250,4.7130,1.0000,1.3740,0.25000
"2022-04-27 21:15:00",257536,11.910,1.1240,4.5560,1.0000,1.3730,0.25000
"2022-04-27 21:30:00",257537,11.910,1.1230,4.4010,1.0000,1.3730,0.25000
"2022-04-27 21:45:00",257538,11.910,1.1240,4.2380,1.0000,1.3730,0.25000
"2022-04-27 22:00:00",257539,11.910,1.1260,4.0810,1.0000,1.3760,0.25000
