"TOA5","lyellblwmaclure_519","CR1000","7759","CR1000.Std.11","CPU:LyellBlwMaclureCr-20200625.CR1","11267","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft_RAW","Temp_C","Observed","Lvl_ft_CORR","Offset","SC_uS","WaterT_CS547"
"TS","RN","Volts","","deg C","","","","uS/cm","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-08-11 08:30:00",214999,13.01,1.23,11.27,7.62,6.94,5.71,35.05,11.15
"2021-08-11 08:45:00",215000,13.02,1.231,11.26,7.62,6.941,5.71,35.12,11.17
"2021-08-11 09:00:00",215001,13.02,1.224,11.27,7.62,6.934,5.71,35.05,11.25
"2021-08-11 09:15:00",215002,13.03,1.229,11.28,7.62,6.938,5.71,35.07,11.3
"2021-08-11 09:30:00",215003,13.04,1.221,11.31,7.62,6.931,5.71,35.1,11.32
"2021-08-11 09:45:00",215004,13.04,1.219,11.36,7.62,6.929,5.71,35,11.48
"2021-08-11 10:00:00",215005,13.04,1.213,11.42,7.62,6.923,5.71,35.03,11.62
"2021-08-11 10:15:00",215006,13.11,1.214,11.53,7.62,6.924,5.71,34.81,11.81
"2021-08-11 10:30:00",215007,13.51,1.209,11.64,7.62,6.919,5.71,34.76,11.97
"2021-08-11 10:45:00",215008,13.48,1.205,11.77,7.62,6.915,5.71,34.71,12.12
"2021-08-11 11:00:00",215009,13.46,1.204,11.87,7.62,6.914,5.71,34.7,12.23
"2021-08-11 11:15:00",215010,13.46,1.206,12,7.62,6.916,5.71,34.63,12.45
"2021-08-11 11:30:00",215011,13.46,1.197,12.13,7.62,6.907,5.71,34.61,12.64
"2021-08-11 11:45:00",215012,13.45,1.19,12.29,7.62,6.9,5.71,34.49,12.95
"2021-08-11 12:00:00",215013,13.48,1.193,12.46,7.62,6.903,5.71,34.48,13.14
"2021-08-11 12:15:00",215014,13.46,1.189,12.67,7.62,6.899,5.71,34.38,13.39
"2021-08-11 12:30:00",215015,13.45,1.187,12.87,7.62,6.897,5.71,34.27,13.67
"2021-08-11 12:45:00",215016,13.46,1.187,13.11,7.62,6.897,5.71,34.24,14.03
"2021-08-11 13:00:00",215017,13.43,1.184,13.41,7.62,6.894,5.71,34.22,14.54
"2021-08-11 13:15:00",215018,13.44,1.177,13.77,7.62,6.887,5.71,34.06,14.97
"2021-08-11 13:30:00",215019,13.47,1.176,14.09,7.62,6.886,5.71,33.92,15.28
"2021-08-11 13:45:00",215020,13.47,1.173,14.46,7.62,6.883,5.71,33.7,15.8
"2021-08-11 14:00:00",215021,13.44,1.174,14.77,7.62,6.884,5.71,33.69,16
"2021-08-11 14:15:00",215022,13.46,1.174,15.06,7.62,6.884,5.71,33.52,16.41
"2021-08-11 14:30:00",215023,13.43,1.173,15.32,7.62,6.883,5.71,33.48,16.47
"2021-08-11 14:45:00",215024,13.4,1.168,15.49,7.62,6.878,5.71,33.33,16.5
"2021-08-11 15:00:00",215025,13.39,1.167,15.58,7.62,6.877,5.71,33.22,16.53
"2021-08-11 15:15:00",215026,13.37,1.162,15.67,7.62,6.872,5.71,33.12,16.53
"2021-08-11 15:30:00",215027,13.36,1.163,15.71,7.62,6.873,5.71,33.04,16.44
"2021-08-11 15:45:00",215028,13.35,1.159,15.76,7.62,6.869,5.71,32.97,16.53
"2021-08-11 16:00:00",215029,13.33,1.153,15.77,7.62,6.863,5.71,32.85,16.38
"2021-08-11 16:15:00",215030,13.32,1.151,15.74,7.62,6.861,5.71,32.73,16.3
"2021-08-11 16:30:00",215031,13.31,1.151,15.7,7.62,6.861,5.71,32.57,16.24
"2021-08-11 16:45:00",215032,13.3,1.153,15.65,7.62,6.863,5.71,32.44,16.16
"2021-08-11 17:00:00",215033,13.28,1.148,15.59,7.62,6.858,5.71,32.34,16.1
"2021-08-11 17:15:00",215034,13.27,1.143,15.55,7.62,6.853,5.71,32.12,16.01
"2021-08-11 17:30:00",215035,13.26,1.143,15.49,7.62,6.853,5.71,31.85,15.9
"2021-08-11 17:45:00",215036,13.26,1.14,15.43,7.62,6.85,5.71,31.6,15.78
"2021-08-11 18:00:00",215037,13.25,1.141,15.35,7.62,6.851,5.71,31.81,15.64
"2021-08-11 18:15:00",215038,13.23,1.138,15.25,7.62,6.848,5.71,32.28,15.52
"2021-08-11 18:30:00",215039,13.23,1.137,15.17,7.62,6.847,5.71,32.64,15.44
"2021-08-11 18:45:00",215040,13.22,1.131,15.1,7.62,6.841,5.71,33.07,15.47
"2021-08-11 19:00:00",215041,13.21,1.132,15.01,7.62,6.842,5.71,33.38,15.27
"2021-08-11 19:15:00",215042,13.21,1.134,14.93,7.62,6.844,5.71,33.73,15.15
"2021-08-11 19:30:00",215043,13.2,1.132,14.84,7.62,6.842,5.71,34.06,15.04
"2021-08-11 19:45:00",215044,13.2,1.124,14.76,7.62,6.834,5.71,34.34,14.93
"2021-08-11 20:00:00",215045,13.18,1.125,14.67,7.62,6.835,5.71,34.57,14.84
"2021-08-11 20:15:00",215046,13.18,1.124,14.59,7.62,6.834,5.71,34.77,14.76
"2021-08-11 20:30:00",215047,13.17,1.124,14.51,7.62,6.834,5.71,34.91,14.67
"2021-08-11 20:45:00",215048,13.17,1.128,14.42,7.62,6.838,5.71,35.06,14.53
"2021-08-11 21:00:00",215049,13.16,1.128,14.33,7.62,6.838,5.71,35.26,14.39
"2021-08-11 21:15:00",215050,13.16,1.13,14.24,7.62,6.84,5.71,35.34,14.33
"2021-08-11 21:30:00",215051,13.15,1.134,14.14,7.62,6.844,5.71,35.49,14.16
"2021-08-11 21:45:00",215052,13.15,1.136,14.05,7.62,6.846,5.71,35.48,14.11
"2021-08-11 22:00:00",215053,13.14,1.139,13.95,7.62,6.849,5.71,35.63,13.94
"2021-08-11 22:15:00",215054,13.14,1.143,13.85,7.62,6.853,5.71,35.73,13.8
"2021-08-11 22:30:00",215055,13.13,1.143,13.74,7.62,6.853,5.71,35.81,13.66
"2021-08-11 22:45:00",215056,13.13,1.145,13.64,7.62,6.855,5.71,35.86,13.55
"2021-08-11 23:00:00",215057,13.13,1.152,13.54,7.62,6.862,5.71,35.94,13.41
"2021-08-11 23:15:00",215058,13.12,1.152,13.43,7.62,6.862,5.71,35.94,13.3
"2021-08-11 23:30:00",215059,13.12,1.153,13.34,7.62,6.863,5.71,35.96,13.25
"2021-08-11 23:45:00",215060,13.12,1.162,13.24,7.62,6.872,5.71,35.99,13.14
"2021-08-12 00:00:00",215061,13.11,1.155,13.14,7.62,6.865,5.71,36.03,13.03
"2021-08-12 00:15:00",215062,13.11,1.158,13.05,7.62,6.868,5.71,36.1,12.89
"2021-08-12 00:30:00",215063,13.11,1.156,12.96,7.62,6.866,5.71,36.12,12.81
"2021-08-12 00:45:00",215064,13.1,1.155,12.87,7.62,6.865,5.71,36.12,12.73
"2021-08-12 01:00:00",215065,13.1,1.161,12.78,7.62,6.871,5.71,36.16,12.62
"2021-08-12 01:15:00",215066,13.1,1.16,12.69,7.62,6.87,5.71,36.22,12.51
"2021-08-12 01:30:00",215067,13.1,1.161,12.6,7.62,6.871,5.71,36.25,12.4
"2021-08-12 01:45:00",215068,13.09,1.165,12.51,7.62,6.875,5.71,36.29,12.29
"2021-08-12 02:00:00",215069,13.09,1.165,12.43,7.62,6.875,5.71,36.27,12.23
"2021-08-12 02:15:00",215070,13.09,1.166,12.34,7.62,6.876,5.71,36.31,12.1
"2021-08-12 02:30:00",215071,13.08,1.171,12.25,7.62,6.88,5.71,36.31,12.02
"2021-08-12 02:45:00",215072,13.08,1.17,12.16,7.62,6.88,5.71,36.37,11.88
"2021-08-12 03:00:00",215073,13.08,1.176,12.07,7.62,6.886,5.71,36.39,11.77
"2021-08-12 03:15:00",215074,13.08,1.179,11.98,7.62,6.889,5.71,36.4,11.72
"2021-08-12 03:30:00",215075,13.08,1.185,11.9,7.62,6.895,5.71,36.4,11.66
"2021-08-12 03:45:00",215076,13.07,1.188,11.82,7.62,6.898,5.71,36.46,11.55
"2021-08-12 04:00:00",215077,13.07,1.189,11.75,7.62,6.899,5.71,36.45,11.53
"2021-08-12 04:15:00",215078,13.07,1.192,11.68,7.62,6.901,5.71,36.46,11.44
"2021-08-12 04:30:00",215079,13.07,1.202,11.61,7.62,6.912,5.71,36.51,11.36
"2021-08-12 04:45:00",215080,13.06,1.199,11.54,7.62,6.909,5.71,36.48,11.31
"2021-08-12 05:00:00",215081,13.06,1.198,11.47,7.62,6.908,5.71,36.57,11.17
"2021-08-12 05:15:00",215082,13.06,1.2,11.4,7.62,6.91,5.71,36.58,11.12
"2021-08-12 05:30:00",215083,13.05,1.201,11.33,7.62,6.911,5.71,36.54,11.09
"2021-08-12 05:45:00",215084,13.05,1.197,11.27,7.62,6.907,5.71,36.53,11.04
"2021-08-12 06:00:00",215085,13.05,1.203,11.19,7.62,6.913,5.71,36.62,10.9
"2021-08-12 06:15:00",215086,13.05,1.207,11.13,7.62,6.916,5.71,36.59,10.85
"2021-08-12 06:30:00",215087,13.05,1.207,11.06,7.62,6.917,5.71,36.66,10.77
"2021-08-12 06:45:00",215088,13.04,1.202,11,7.62,6.912,5.71,36.66,10.69
"2021-08-12 07:00:00",215089,13.04,1.201,10.94,7.62,6.911,5.71,36.69,10.63
"2021-08-12 07:15:00",215090,13.04,1.203,10.88,7.62,6.913,5.71,36.68,10.61
"2021-08-12 07:30:00",215091,13.04,1.203,10.83,7.62,6.913,5.71,36.67,10.61
"2021-08-12 07:45:00",215092,13.04,1.203,10.79,7.62,6.913,5.71,36.67,10.58
"2021-08-12 08:00:00",215093,13.04,1.199,10.75,7.62,6.909,5.71,36.64,10.58
"2021-08-12 08:15:00",215094,13.03,1.195,10.73,7.62,6.905,5.71,36.71,10.53
"2021-08-12 08:30:00",215095,13.03,1.192,10.71,7.62,6.902,5.71,36.68,10.55
"2021-08-12 08:45:00",215096,13.03,1.187,10.71,7.62,6.897,5.71,36.69,10.58
"2021-08-12 09:00:00",215097,13.03,1.188,10.72,7.62,6.898,5.71,36.65,10.63
"2021-08-12 09:15:00",215098,13.05,1.193,10.74,7.62,6.903,5.71,36.69,10.71
"2021-08-12 09:30:00",215099,13.05,1.188,10.78,7.62,6.898,5.71,36.69,10.78
"2021-08-12 09:45:00",215100,13.04,1.185,10.84,7.62,6.895,5.71,36.63,10.97
"2021-08-12 10:00:00",215101,13.04,1.178,10.92,7.62,6.888,5.71,36.66,11.08
