date_time(UTC:PDT+7),vented_pressure(cm),water_temperature(deg_C),special_conductivity(microSiemens),discharge_flag
2022-07-28 00:00:00,218.5416,14.24,15.97,0
2022-07-28 00:30:00,218.32824000000002,14.1,16.08,0
2022-07-28 01:00:00,218.63304,13.97,16.15,0
2022-07-28 01:30:00,218.90736,13.91,16.24,0
2022-07-28 02:00:00,219.12072,13.85,16.3,0
2022-07-28 02:30:00,219.66936,13.74,16.38,0
2022-07-28 03:00:00,220.218,13.6,16.46,0
2022-07-28 03:30:00,220.49232,13.46,16.49,0
2022-07-28 04:00:00,220.73616,13.21,16.58,0
2022-07-28 04:30:00,221.2848,13.02,16.61,0
2022-07-28 05:00:00,221.37624,12.86,16.66,0
2022-07-28 05:30:00,221.74200000000002,12.69,16.7,0
2022-07-28 06:00:00,221.89440000000002,12.5,16.76,0
2022-07-28 06:30:00,222.90024,12.34,16.82,0
2022-07-28 07:00:00,222.96120000000002,12.23,16.89,0
2022-07-28 07:30:00,223.05264,12.17,16.93,0
2022-07-28 08:00:00,223.29648,12.09,16.97,0
2022-07-28 08:30:00,223.02216,11.99,17.02,0
2022-07-28 09:00:00,222.62592,11.88,17.03,0
2022-07-28 09:30:00,222.68688,11.8,17.07,0
2022-07-28 10:00:00,222.53448,11.69,17.07,0
2022-07-28 10:30:00,222.22968,11.53,17.07,0
2022-07-28 11:00:00,222.04680000000002,11.42,17.04,0
2022-07-28 11:30:00,221.74200000000002,11.25,17.07,0
2022-07-28 12:00:00,221.22384,11.15,17.06,0
2022-07-28 12:30:00,220.98,11.04,17.1,0
2022-07-28 13:00:00,220.76664000000002,10.93,17.12,0
2022-07-28 13:30:00,220.46184,10.85,17.13,0
2022-07-28 14:00:00,220.03512,10.74,17.13,0
2022-07-28 14:30:00,220.0656,10.74,17.15,0
2022-07-28 15:00:00,219.54744000000002,10.77,17.17,0
2022-07-28 15:30:00,219.51696,10.82,17.25,0
2022-07-28 16:00:00,218.9988,11.0,17.31,0
2022-07-28 16:30:00,218.96832,11.27,17.34,0
2022-07-28 17:00:00,218.72448,11.53,17.41,0
2022-07-28 17:30:00,218.38920000000002,11.94,17.45,0
2022-07-28 18:00:00,218.02344,12.27,17.53,0
2022-07-28 18:30:00,217.90152,12.67,17.67,0
2022-07-28 19:00:00,217.50528,12.97,17.83,0
2022-07-28 19:30:00,217.26144,13.48,17.96,0
2022-07-28 20:00:00,217.01760000000002,14.23,18.07,0
2022-07-28 20:30:00,216.89568,14.83,18.27,0
2022-07-28 21:00:00,216.68232,14.74,18.33,0
2022-07-28 21:30:00,216.56040000000002,14.97,18.36,0
2022-07-28 22:00:00,216.19464,14.8,18.42,0
2022-07-28 22:30:00,215.88984000000002,14.58,18.45,0
2022-07-28 23:00:00,215.92032,14.55,18.42,0
2022-07-28 23:30:00,215.76792,14.44,18.47,0
2022-07-29 00:00:00,215.55456,14.24,18.54,0
2022-07-29 00:30:00,215.12784,14.15,18.56,0
2022-07-29 01:00:00,215.34120000000001,14.07,18.63,0
2022-07-29 01:30:00,215.21928,13.87,18.7,0
2022-07-29 02:00:00,215.09736,13.87,18.7,0
2022-07-29 02:30:00,215.46312,13.73,18.78,0
2022-07-29 03:00:00,215.73744000000002,13.6,18.8,0
2022-07-29 03:30:00,215.88984000000002,13.46,18.85,0
2022-07-29 04:00:00,216.37752,13.3,18.88,0
2022-07-29 04:30:00,216.71280000000002,13.1,18.93,0
2022-07-29 05:00:00,216.71280000000002,12.88,18.95,0
2022-07-29 05:30:00,216.86520000000002,12.66,18.98,0
2022-07-29 06:00:00,216.95664000000002,12.42,19.01,0
