date_time(UTC:PDT+7),vented_pressure(cm),water_temperature(deg_C),discharge_flag
2022-09-02 19:30:00,78.39456,18.0,0
2022-09-02 20:00:00,78.33359999999999,18.8,0
2022-09-02 20:30:00,78.27264000000001,19.3,0
2022-09-02 21:00:00,78.27264000000001,19.7,0
2022-09-02 21:30:00,78.24216000000001,20.2,0
2022-09-02 22:00:00,78.21168,20.4,0
2022-09-02 22:30:00,78.1812,20.5,0
2022-09-02 23:00:00,78.12024000000001,20.6,0
2022-09-02 23:30:00,78.08976,20.5,0
2022-09-03 00:00:00,78.08976,20.5,0
2022-09-03 00:30:00,78.0288,20.2,0
2022-09-03 01:00:00,77.99832,19.8,0
2022-09-03 01:30:00,77.93736,19.3,0
2022-09-03 02:00:00,77.93736,18.8,0
2022-09-03 02:30:00,77.90688,18.4,0
2022-09-03 03:00:00,77.90688,17.9,0
2022-09-03 03:30:00,77.8764,17.6,0
2022-09-03 04:00:00,77.93736,17.3,0
2022-09-03 04:30:00,77.90688,17.0,0
2022-09-03 05:00:00,77.90688,16.7,0
2022-09-03 05:30:00,77.90688,16.4,0
2022-09-03 06:00:00,77.93736,16.2,0
2022-09-03 06:30:00,77.96784,15.9,0
2022-09-03 07:00:00,77.99832,15.6,0
2022-09-03 07:30:00,78.05928,15.5,0
2022-09-03 08:00:00,78.05928,15.3,0
2022-09-03 08:30:00,78.08976,15.0,0
2022-09-03 09:00:00,78.12024000000001,14.8,0
2022-09-03 09:30:00,78.1812,14.5,0
2022-09-03 10:00:00,78.24216000000001,14.3,0
2022-09-03 10:30:00,78.27264000000001,14.1,0
2022-09-03 11:00:00,78.27264000000001,13.8,0
2022-09-03 11:30:00,78.30311999999999,13.6,0
2022-09-03 12:00:00,78.36408,13.4,0
2022-09-03 12:30:00,78.33359999999999,13.2,0
2022-09-03 13:00:00,78.33359999999999,13.0,0
2022-09-03 13:30:00,78.33359999999999,12.8,0
2022-09-03 14:00:00,78.33359999999999,12.6,0
2022-09-03 14:30:00,78.33359999999999,12.5,0
2022-09-03 15:00:00,78.36408,12.4,0
2022-09-03 15:30:00,78.36408,12.5,0
2022-09-03 16:00:00,78.36408,12.7,0
2022-09-03 16:30:00,78.42504,13.0,0
2022-09-03 17:00:00,78.45551999999999,13.6,0
2022-09-03 17:30:00,78.45551999999999,14.2,0
2022-09-03 18:00:00,78.486,15.2,0
2022-09-03 18:30:00,78.51648,16.1,0
2022-09-03 19:00:00,78.45551999999999,17.1,0
2022-09-03 19:30:00,78.39456,18.0,0
2022-09-03 20:00:00,78.36408,18.9,0
2022-09-03 20:30:00,78.30311999999999,19.6,0
2022-09-03 21:00:00,78.27264000000001,20.2,0
2022-09-03 21:30:00,78.24216000000001,20.7,0
2022-09-03 22:00:00,78.08976,21.1,0
2022-09-03 22:30:00,78.05928,21.4,0
2022-09-03 23:00:00,77.99832,21.5,0
2022-09-03 23:30:00,77.93736,21.5,0
2022-09-04 00:00:00,77.84591999999999,21.2,0
2022-09-04 00:30:00,77.81544,20.9,0
2022-09-04 01:00:00,77.78496,20.4,0
2022-09-04 01:30:00,77.75448,19.9,0
2022-09-04 02:00:00,77.69351999999999,19.3,0
2022-09-04 02:30:00,77.72399999999999,18.8,0
2022-09-04 03:00:00,77.72399999999999,18.3,0
2022-09-04 03:30:00,77.75448,17.9,0
2022-09-04 04:00:00,77.78496,17.6,0
2022-09-04 04:30:00,77.75448,17.3,0
2022-09-04 05:00:00,77.78496,17.0,0
2022-09-04 05:30:00,77.78496,16.7,0
2022-09-04 06:00:00,77.78496,16.4,0
2022-09-04 06:30:00,77.81544,16.1,0
2022-09-04 07:00:00,77.81544,15.9,0
2022-09-04 07:30:00,77.84591999999999,15.6,0
2022-09-04 08:00:00,77.8764,15.4,0
2022-09-04 08:30:00,77.90688,15.1,0
2022-09-04 09:00:00,77.96784,14.8,0
2022-09-04 09:30:00,77.99832,14.5,0
2022-09-04 10:00:00,77.99832,14.4,0
2022-09-04 10:30:00,78.05928,14.1,0
2022-09-04 11:00:00,78.08976,13.9,0
2022-09-04 11:30:00,78.12024000000001,13.7,0
2022-09-04 12:00:00,78.12024000000001,13.4,0
2022-09-04 12:30:00,78.12024000000001,13.3,0
2022-09-04 13:00:00,78.12024000000001,13.1,0
2022-09-04 13:30:00,78.12024000000001,13.0,0
2022-09-04 14:00:00,78.12024000000001,12.8,0
2022-09-04 14:30:00,78.12024000000001,12.7,0
2022-09-04 15:00:00,78.12024000000001,12.6,0
2022-09-04 15:30:00,78.15072,12.7,0
2022-09-04 16:00:00,78.1812,12.9,0
2022-09-04 16:30:00,78.24216000000001,13.3,0
2022-09-04 17:00:00,78.21168,13.8,0
2022-09-04 17:30:00,78.24216000000001,14.5,0
2022-09-04 18:00:00,78.24216000000001,15.4,0
2022-09-04 18:30:00,78.24216000000001,16.4,0
2022-09-04 19:00:00,78.24216000000001,17.5,0
2022-09-04 19:30:00,78.1812,18.3,0
2022-09-04 20:00:00,78.12024000000001,18.9,0
2022-09-04 20:30:00,78.05928,19.2,0
2022-09-04 21:00:00,78.0288,19.9,0
2022-09-04 21:30:00,77.93736,20.1,0
2022-09-04 22:00:00,77.8764,20.0,0
2022-09-04 22:30:00,77.90688,19.8,0
2022-09-04 23:00:00,77.84591999999999,19.6,0
2022-09-04 23:30:00,77.84591999999999,19.5,0
2022-09-05 00:00:00,77.81544,19.4,0
2022-09-05 00:30:00,77.78496,19.2,0
2022-09-05 01:00:00,77.75448,19.0,0
2022-09-05 01:30:00,77.75448,18.7,0
2022-09-05 02:00:00,77.75448,18.5,0
2022-09-05 02:30:00,77.72399999999999,18.1,0
2022-09-05 03:00:00,77.75448,17.7,0
2022-09-05 03:30:00,77.72399999999999,17.4,0
2022-09-05 04:00:00,77.72399999999999,17.2,0
2022-09-05 04:30:00,77.75448,16.9,0
2022-09-05 05:00:00,77.75448,16.6,0
2022-09-05 05:30:00,77.75448,16.3,0
2022-09-05 06:00:00,77.75448,16.1,0
2022-09-05 06:30:00,77.81544,15.8,0
2022-09-05 07:00:00,77.8764,15.6,0
2022-09-05 07:30:00,77.96784,15.3,0
2022-09-05 08:00:00,78.0288,15.1,0
2022-09-05 08:30:00,78.12024000000001,14.9,0
2022-09-05 09:00:00,78.21168,14.7,0
2022-09-05 09:30:00,78.21168,14.4,0
2022-09-05 10:00:00,78.24216000000001,14.2,0
2022-09-05 10:30:00,78.30311999999999,14.0,0
2022-09-05 11:00:00,78.30311999999999,13.9,0
2022-09-05 11:30:00,78.30311999999999,13.6,0
2022-09-05 12:00:00,78.27264000000001,13.4,0
2022-09-05 12:30:00,78.24216000000001,13.2,0
2022-09-05 13:00:00,78.27264000000001,13.1,0
2022-09-05 13:30:00,78.21168,12.9,0
2022-09-05 14:00:00,78.24216000000001,12.7,0
2022-09-05 14:30:00,78.21168,12.7,0
2022-09-05 15:00:00,78.24216000000001,12.6,0
2022-09-05 15:30:00,78.24216000000001,12.7,0
2022-09-05 16:00:00,78.24216000000001,13.0,0
2022-09-05 16:30:00,78.27264000000001,13.3,0
2022-09-05 17:00:00,78.30311999999999,13.8,0
2022-09-05 17:30:00,78.27264000000001,14.4,0
2022-09-05 18:00:00,78.30311999999999,15.2,0
2022-09-05 18:30:00,78.1812,16.1,0
2022-09-05 19:00:00,78.24216000000001,17.1,0
2022-09-05 19:30:00,78.21168,18.0,0
2022-09-05 20:00:00,78.12024000000001,18.7,0
2022-09-05 20:30:00,78.1812,19.4,0
2022-09-05 21:00:00,78.0288,20.1,0
2022-09-05 21:30:00,77.96784,20.7,0
2022-09-05 22:00:00,77.96784,21.3,0
2022-09-05 22:30:00,77.90688,21.7,0
2022-09-05 23:00:00,77.75448,22.0,0
2022-09-05 23:30:00,77.69351999999999,21.9,0
2022-09-06 00:00:00,77.66304000000001,21.5,0
