"TOA5","DanaFrkBug","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-08-08 15:30:00",302441,13.21,1.303,14.16,1,1.553,0.25
"2023-08-08 15:45:00",302442,13.22,1.24,14.34,1,1.489,0.25
"2023-08-08 16:00:00",302443,13.21,1.238,14.49,1,1.488,0.25
"2023-08-08 16:15:00",302444,13.22,1.236,14.63,1,1.486,0.25
"2023-08-08 16:30:00",302445,13.22,1.237,14.76,1,1.487,0.25
"2023-08-08 16:45:00",302446,13.18,1.231,14.86,1,1.481,0.25
"2023-08-08 17:00:00",302447,13.16,1.232,14.94,1,1.481,0.25
"2023-08-08 17:15:00",302448,13.17,1.23,14.99,1,1.48,0.25
"2023-08-08 17:30:00",302449,13.21,1.229,15.03,1,1.478,0.25
"2023-08-08 17:45:00",302450,13.22,1.227,15.04,1,1.476,0.25
"2023-08-08 18:00:00",302451,13.15,1.228,15.04,1,1.478,0.25
"2023-08-08 18:15:00",302452,12.99,1.226,15.02,1,1.476,0.25
"2023-08-08 18:30:00",302453,12.92,1.228,15,1,1.478,0.25
"2023-08-08 18:45:00",302454,12.87,1.227,14.96,1,1.476,0.25
"2023-08-08 19:00:00",302455,12.83,1.228,14.93,1,1.478,0.25
"2023-08-08 19:15:00",302456,12.8,1.226,14.9,1,1.475,0.25
"2023-08-08 19:30:00",302457,12.78,1.228,14.86,1,1.478,0.25
"2023-08-08 19:45:00",302458,12.76,1.226,14.83,1,1.476,0.25
"2023-08-08 20:00:00",302459,12.75,1.228,14.78,1,1.477,0.25
"2023-08-08 20:15:00",302460,12.74,1.229,14.73,1,1.478,0.25
"2023-08-08 20:30:00",302461,12.73,1.23,14.67,1,1.479,0.25
"2023-08-08 20:45:00",302462,12.72,1.231,14.6,1,1.481,0.25
"2023-08-08 21:00:00",302463,12.71,1.232,14.53,1,1.482,0.25
"2023-08-08 21:15:00",302464,12.7,1.234,14.45,1,1.484,0.25
"2023-08-08 21:30:00",302465,12.7,1.233,14.36,1,1.482,0.25
"2023-08-08 21:45:00",302466,12.69,1.237,14.27,1,1.487,0.25
"2023-08-08 22:00:00",302467,12.68,1.239,14.17,1,1.488,0.25
"2023-08-08 22:15:00",302468,12.67,1.242,14.06,1,1.492,0.25
"2023-08-08 22:30:00",302469,12.66,1.242,13.94,1,1.492,0.25
"2023-08-08 22:45:00",302470,12.65,1.246,13.81,1,1.495,0.25
"2023-08-08 23:00:00",302471,12.64,1.245,13.68,1,1.494,0.25
"2023-08-08 23:15:00",302472,12.63,1.25,13.54,1,1.5,0.25
"2023-08-08 23:30:00",302473,12.63,1.25,13.4,1,1.5,0.25
"2023-08-08 23:45:00",302474,12.62,1.253,13.25,1,1.503,0.25
"2023-08-09 00:00:00",302475,12.61,1.254,13.11,1,1.503,0.25
"2023-08-09 00:15:00",302476,12.6,1.253,12.96,1,1.503,0.25
"2023-08-09 00:30:00",302477,12.6,1.254,12.81,1,1.504,0.25
"2023-08-09 00:45:00",302478,12.59,1.256,12.66,1,1.506,0.25
"2023-08-09 01:00:00",302479,12.59,1.254,12.51,1,1.504,0.25
"2023-08-09 01:15:00",302480,12.58,1.254,12.36,1,1.504,0.25
"2023-08-09 01:30:00",302481,12.57,1.256,12.21,1,1.505,0.25
"2023-08-09 01:45:00",302482,12.56,1.26,12.05,1,1.51,0.25
"2023-08-09 02:00:00",302483,12.56,1.257,11.9,1,1.507,0.25
"2023-08-09 02:15:00",302484,12.55,1.26,11.75,1,1.51,0.25
"2023-08-09 02:30:00",302485,12.55,1.258,11.59,1,1.508,0.25
"2023-08-09 02:45:00",302486,12.54,1.255,11.44,1,1.505,0.25
"2023-08-09 03:00:00",302487,12.54,1.255,11.29,1,1.505,0.25
"2023-08-09 03:15:00",302488,12.53,1.26,11.14,1,1.51,0.25
"2023-08-09 03:30:00",302489,12.53,1.258,10.99,1,1.508,0.25
