"TOA5","Tuolumne120","CR1000","50324","CR1000.Std.25","CPU:TUM_Gage10_10852.cr1","17752","T15min"
"TIMESTAMP","RECORD","BattV_Avg","Lvl_ft_1_Avg","Temp_C_1_Avg","Lvl_ft_2_Avg","Temp_C_2_Avg","MedianTurbidity_Avg","VarianceTurbidity_Avg","Temp_C_DTS12_Avg","AvgLvl_Avg","Observed_1","Lvl_ft_1_corr","Offset_1","Observed_2","Lvl_ft_2_corr","Offset_2"
"TS","RN","Volts","feet","deg C","feet","deg C","NTU","NTU","deg C","feet","","feet","","","feet",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-23 11:00:00",306290,14.42,7.955,1.69,7.979,1.8,3.95,1.202,1.8,7.967,2.37,7.054,-0.901,2.37,7.052,-0.927
"2023-05-23 11:15:00",306291,14.42,7.941,1.829,7.963,1.939,3.41,0.528,2,7.952,2.37,7.04,-0.901,2.37,7.036,-0.927
"2023-05-23 11:30:00",306292,14.42,7.928,1.969,7.95,2.08,4.18,0.804,2.1,7.939,2.37,7.027,-0.901,2.37,7.022,-0.927
"2023-05-23 11:45:00",306293,14.41,7.897,2.12,7.918,2.231,3.85,1.127,2.3,7.908,2.37,6.996,-0.901,2.37,6.991,-0.927
"2023-05-23 12:00:00",306294,14.4,7.877,2.274,7.901,2.386,3.63,0.887,2.4,7.889,2.37,6.976,-0.901,2.37,6.973,-0.927
"2023-05-23 12:15:00",306295,14.32,7.882,2.446,7.896,2.558,3.94,1.148,2.6,7.889,2.37,6.981,-0.901,2.37,6.969,-0.927
"2023-05-23 12:30:00",306296,14.31,7.852,2.57,7.873,2.683,3.13,3.788,2.7,7.862,2.37,6.951,-0.901,2.37,6.946,-0.927
"2023-05-23 12:45:00",306297,14.05,7.807,2.7,7.829,2.814,3.9,17.39,2.9,7.818,2.37,6.906,-0.901,2.37,6.902,-0.927
"2023-05-23 13:00:00",306298,14.3,7.842,2.84,7.862,2.955,3.33,0.885,3,7.852,2.37,6.941,-0.901,2.37,6.935,-0.927
"2023-05-23 13:15:00",306299,13.57,7.83,2.933,7.847,3.044,3.97,1.89,3,7.839,2.37,6.929,-0.901,2.37,6.92,-0.927
"2023-05-23 13:30:00",306300,14.29,7.824,2.994,7.845,3.108,4.58,1.886,3.1,7.834,2.37,6.923,-0.901,2.37,6.917,-0.927
"2023-05-23 13:45:00",306301,14.38,7.798,3.078,7.821,3.192,3.88,1.005,3.2,7.809,2.37,6.897,-0.901,2.37,6.893,-0.927
"2023-05-23 14:00:00",306302,14.33,7.788,3.159,7.809,3.272,4.76,103.1,3.3,7.799,2.37,6.887,-0.901,2.37,6.882,-0.927
"2023-05-23 14:15:00",306303,14.28,7.801,3.174,7.828,3.287,4,0.699,3.3,7.815,2.37,6.9,-0.901,2.37,6.901,-0.927
"2023-05-23 14:30:00",306304,13.54,7.802,3.232,7.826,3.345,4.43,1.875,3.3,7.814,2.37,6.901,-0.901,2.37,6.898,-0.927
"2023-05-23 14:45:00",306305,13.57,7.822,3.199,7.839,3.308,5.05,1.489,3.3,7.83,2.37,6.921,-0.901,2.37,6.911,-0.927
"2023-05-23 15:00:00",306306,13.54,7.822,3.161,7.843,3.271,5.71,11.28,3.3,7.832,2.37,6.921,-0.901,2.37,6.915,-0.927
"2023-05-23 15:15:00",306307,13.44,7.835,3.136,7.86,3.244,4.95,1.407,3.2,7.847,2.37,6.934,-0.901,2.37,6.932,-0.927
"2023-05-23 15:30:00",306308,13.38,7.855,3.098,7.883,3.208,5.96,1.332,3.2,7.869,2.37,6.954,-0.901,2.37,6.955,-0.927
"2023-05-23 15:45:00",306309,13.31,7.91,3.068,7.934,3.178,5.43,0.498,3.1,7.922,2.37,7.009,-0.901,2.37,7.006,-0.927
"2023-05-23 16:00:00",306310,13.23,7.933,2.973,7.956,3.081,5.51,8.38,3,7.944,2.37,7.032,-0.901,2.37,7.028,-0.927
"2023-05-23 16:15:00",306311,13.2,7.945,2.867,7.968,2.975,4.18,0.841,2.9,7.956,2.37,7.044,-0.901,2.37,7.04,-0.927
"2023-05-23 16:30:00",306312,13.18,7.965,2.772,7.988,2.878,5.13,3.591,2.8,7.977,2.37,7.064,-0.901,2.37,7.061,-0.927
"2023-05-23 16:45:00",306313,13.12,7.999,2.688,8.02,2.795,4.81,1.469,2.8,8.01,2.37,7.098,-0.901,2.37,7.091,-0.927
"2023-05-23 17:00:00",306314,13.07,8.05,2.564,8.07,2.671,5.02,1.237,2.6,8.06,2.37,7.147,-0.901,2.37,7.138,-0.927
"2023-05-23 17:15:00",306315,13.03,8.07,2.422,8.08,2.526,4.48,3.085,2.5,8.07,2.37,7.164,-0.901,2.37,7.157,-0.927
"2023-05-23 17:30:00",306316,12.99,8.12,2.341,8.14,2.447,5.14,1.606,2.4,8.13,2.37,7.223,-0.901,2.37,7.215,-0.927
"2023-05-23 17:45:00",306317,12.94,8.13,2.227,8.15,2.335,4.77,1.375,2.2,8.14,2.37,7.224,-0.901,2.37,7.223,-0.927
"2023-05-23 18:00:00",306318,12.89,8.15,2.106,8.17,2.216,4.75,55.53,2.2,8.16,2.37,7.249,-0.901,2.37,7.243,-0.927
"2023-05-23 18:15:00",306319,12.86,8.21,2.02,8.22,2.125,4.84,1.143,2.1,8.22,2.37,7.308,-0.901,2.37,7.295,-0.927
"2023-05-23 18:30:00",306320,12.9,8.24,1.927,8.26,2.032,4.68,1.95,1.9,8.25,2.37,7.335,-0.901,2.37,7.329,-0.927
"2023-05-23 18:45:00",306321,12.77,8.24,1.855,8.26,1.962,4.39,0.949,1.9,8.25,2.37,7.338,-0.901,2.37,7.334,-0.927
"2023-05-23 19:00:00",306322,12.8,8.28,1.749,8.3,1.855,4.1,1.02,1.8,8.29,2.37,7.38,-0.901,2.37,7.377,-0.927
"2023-05-23 19:15:00",306323,12.66,8.31,1.675,8.33,1.782,4.53,1.632,1.7,8.32,2.37,7.408,-0.901,2.37,7.403,-0.927
"2023-05-23 19:30:00",306324,12.6,8.33,1.605,8.35,1.71,5.16,3.643,1.7,8.34,2.37,7.428,-0.901,2.37,7.425,-0.927
"2023-05-23 19:45:00",306325,12.54,8.36,1.49,8.38,1.594,5.22,1.686,1.5,8.37,2.37,7.462,-0.901,2.37,7.452,-0.927
"2023-05-23 20:00:00",306326,12.49,8.37,1.401,8.4,1.505,5.35,1.501,1.5,8.38,2.37,7.47,-0.901,2.37,7.469,-0.927
"2023-05-23 20:15:00",306327,12.46,8.38,1.277,8.41,1.382,5.15,1.774,1.3,8.39,2.37,7.481,-0.901,2.37,7.479,-0.927
"2023-05-23 20:30:00",306328,12.43,8.39,1.196,8.41,1.301,5.36,2.112,1.2,8.4,2.37,7.488,-0.901,2.37,7.483,-0.927
"2023-05-23 20:45:00",306329,12.4,8.4,1.123,8.42,1.228,5.34,1.295,1.2,8.41,2.37,7.494,-0.901,2.37,7.492,-0.927
"2023-05-23 21:00:00",306330,12.39,8.41,1.06,8.43,1.166,4.72,2.645,1.1,8.42,2.37,7.507,-0.901,2.37,7.507,-0.927
"2023-05-23 21:15:00",306331,12.46,8.42,1.021,8.44,1.128,4.81,12.03,1.1,8.43,2.37,7.514,-0.901,2.37,7.511,-0.927
